Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Double Enghien Brune	hoge gisting, amber	8%	Brasserie de Silly	?-?
Douglas Celtic Brown	donkere scotch	7,9%	Scottish & Newcastle voor Groep John Martin	?-?
Douglas Celtic Lager	blonde lager	5%	Scottish & Newcastle voor Groep John Martin	?-?
Douglas Celtic Red	amberrood, hoge gisting	7,9%	Scottish & Newcastle voor Groep John Martin	?-?
Douglas Celtic Super	blond, hoge gisting	7,9%	Scottish & Newcastle voor Groep John Martin	?-?
Douglas Celtic XXX Strong	blond, hoge gisting	12%	Scottish & Newcastle voor Groep John Martin	?-?
Drongens Plezierke	hoge gisting, donker	7,5%	Brouwerij Slaghmuylder	1985-heden (e 1989-heden)
Draeckenier	goudblond	7,5%	De Proefbrouwerij voor Brouwerij Troch	?-?
Druïde Blond	lichtblond	6,5%	De Proefbrouwerij voor Brouwerij Druïde	2005-heden
Druïde Bruin	robijnrood	6,5%	De Proefbrouwerij voor Brouwerij Druïde	2006-heden
Druïde Grand Q	tripel, blond	8,5%	De Proefbrouwerij voor Brouwerij Druïde	?-heden
Druivenbier	fruitbier	6%	Brouwerij Van Steenberge voor Brouwerij Paeleman	?-?
Dubbel Buitenlust	blond	8,5%	De Proefbrouwerij	1997-heden
Dubbel Klok	donker	8,5%	Brouwerij Boelens	1995-heden
Ducassis	fruitbier	3%	Brasserie des Légendes	2003-heden
Duchesse de Bourgogne	oud bruin	6,2%	Brouwerij Verhaeghe Vichte	?-heden
Duivels Bier	donker	8%	Brouwerij Boon (voorheen brouwerij Pêtre Frères en vervolgens brouwerij Vander Linden)	1883-heden
Dulle Griet	dubbel	6,5%	De Scheldebrouwerij	?-heden
Dulle Teve	tripel	10%	De Dolle Brouwers	?-heden
Duvel	hoge gisting	8,5%	Brouwerij Duvel Moortgat	1970-heden
Duvel Groen	"hoge gisting ""pils"""	7%	Brouwerij Duvel Moortgat	1968?-2021
Duvel Tripel Hop	hoge gisting	9,5%	Brouwerij Duvel Moortgat	2007, 2010, 2012-heden
Duvel Tripel Hop Cashmere	hoge gisting	9,5%	Brouwerij Duvel Moortgat	2019-heden
Echt Kriekenbier	fruitbier	6,8%	Brouwerij Verhaeghe	?-heden
Echte Kriek	fruitbier	6,8%	Brouwerij Verhaeghe	?-heden
Edel-Brau	alcoholarm	0,3%	Brouwerij Strubbe	1988-heden
Eerwaarde Pater	Waestvlaams roodbruin	9%	Brouwerij Het Alternatief bij Brouwerij De Graal of Brouwerij Alvinne	NaN
Egotripel	Tripel blond	6,5%	Brouwerij Groenendael	2013 -heden
Egotripel Dark	Donker	7,1%	Brouwerij Groenendael	2015-heden
Eeuwige Liefde	sterk donker	8,2%	Brouwerij DijkWaert	2010-heden
Egmont	blond	6,5%	Brouwerij Strubbe voor Brouwerij Crombé	1987-heden
Elfique Ambree	Amber licht bitter	7%	André & Valérie Grolet	NaN
Elfique Rose	Fris kruidig	6,5%	André & Valérie Grolet	NaN
Elfique Triple Blanche	wit	5,5%	André & Valérie Grolet	NaN
Elfique Blonde	Blond bitter	6%	André & Valérie Grolet	NaN
Elfique Triple Blonde	Blond tripel	8%	André & Valérie Grolet	NaN
Elfique Triple Brun	Bruin, tripel, diverse moutsoorten	8%	André & Valérie Grolet	NaN
Elliot Brew	Imperial IPA	9%	De Struise Brouwers bij Brouwerij Deca	NaN
El Toro	hoge gisting, IPA	6,5%	Brouwerij Contreras	2008-? (e ?-?)
Embrasse	hoge gisting, sterk donker	9%	Brouwerij De Dochter van de Korenaar	2008-heden
Embrasse Embrasse Oak Aged	hoge gisting	9%	Brouwerij De Dochter van de Korenaar	?-heden
Embrasse Special Edition	hoge gisting, oak aged	9%	Brouwerij De Dochter van de Korenaar	?-heden
Ename Blond	abdijbier, hoge gisting	6,5%	Brouwerij Roman	1997-heden
Ename Cuvée 974	hoge gisting	7%	Brouwerij Roman	2002-heden
Ename Cuvée Rouge	hoge gisting	7%	Brouwerij Roman	2002-heden
Ename Dubbel	abdijbier, hoge gisting	6,5%	Brouwerij Roman	1990-heden
Ename Pater	abdijbier, hoge gisting	%	Brouwerij Roman	2015-heden
Ename Tripel	abdijbier, tripel	8,5%	Brouwerij Roman	1990-heden
Engeltjesbier	NaN	?%	Brouwerij Steedje	?-?
Enfant Terriple	blond, tripel	8,2%	Brouwerij De Leite	2010-heden
Enghien Noël	hoge gisting, tripel, kerstbier	9%	Brasserie de Silly	NaN
Estaminet Premium Pils	pils	5,2%	Brouwerij Palm	?-heden
Equinox	bruin	8%	Brasserie de la Senne	?-heden
Eupener Bier	pils	5,2%	Eupener Bierbrauerei, later Brouwerij Haacht	?-heden
Eupener Caramel	NaN	?%	Eupener Bierbrauerei	?-?
Eupener Export	?	4%	Eupener Bierbrauerei	?-1998
Excellence du Val-Dieu	NaN	?%	Brouwerij Val-Dieu	?-?
Export 8	pils	4,7%	Brouwerij Haacht	voor 1925-heden
Export Spitz	NaN	?%	Brasserie Devaux	?-?
Extase	imperial/double IPA	8,5%	Brouwerij De Dochter van de Korenaar	?-heden
Extra blond	pils	5%	Brouwerij Duvel Moortgat	1930-1976
Extra light	?	2,5%	Eupener Bierbrauerei	?-1998
Extra Pilsener	pils	5%	Brouwerij Duvel Moortgat	1976-1991
Ezel Bruin	bruin	6,5%	Brouwerij Bavik	?-heden
Ezel Wit	witbier	5,8%	Brouwerij Bavik	?-heden
Fancy	alcoholarm	0,5%	Brouwerij Bavik	?-heden
Fantôme	hoge gisting	8%	Brasserie Fantôme	?-heden
Fantôme Chocolat	hoge gisting	8%	Brasserie Fantôme	?-heden
Fantôme Spéciale Noel	hoge gisting	8%	Brasserie Fantôme	?-heden
Faro Boon	faro	4%	Brouwerij Boon	?-heden
Faro Girardin	faro	5%	Brouwerij Girardin	?-heden
Faro Lambic Lindemans	faro	4,5%	Brouwerij Lindemans	1978-heden
Faro Perte Totale	faro	5%	Brouwerij Boon	?-heden
Fasso Blond	blond	6,5%	Brouwerij Vissenaken	?-?
Felix Kriek Oud Bruin	kriek	6%	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?-?
Felix Kriekbier	kriek	5,2%	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?-?
Felix Oud Bruin	bruin	5,2%	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?-heden
Felix Speciaal Oudenaards	roodbruin	4,6%	Brouwerij Verhaeghe voor Brouwerij Clarysse (bierfirma)	?-?
Femme Fatale	hoge gisting, amber	6,5%	Brouwerij De Leite	2008-heden
Ferme Framboos	fruitbier	8%	Brouwerij De Vlier	?-heden
Ferre	quadrupel	10%	Brouwerij Maenhout bij Brouwerij Gulden Spoor	2013-heden
Festina Lente	donkerbruin	7%	Brouwerij Alvinne	?-?
Février Blonde	blond	?%	Brasserie Devaux	?-?
Février Brune	bruin	?%	Brasserie Devaux	?-?
Finesse	hoge gisting, tripel	8,5%	Brouwerij De Dochter van de Korenaar	?-?
Flandrien	hoge gisting	7%	Brouwerij Louwaege	?-?
Flodder	hoge gisting	8%	De Proefbrouwerij voor bierfirma VALOCCO	?-?
Flora	NaN	7%	Brasserie La Binchoise	?-?
Flora Lager 3.5	pils	3,5%	De Wilde Brouwers	2018-heden
Floreffe Blond	abdijbier	6,3%	Brouwerij Lefebvre	1983-heden
Floreffe Dubbel	abdijbier	6,3%	Brouwerij Lefebvre	1983-heden
Floreffe Prima Melior	abdijbier	8%	Brouwerij Lefebvre	?-heden
Floreffe Tripel	abdijbier	7,5%	Brouwerij Lefebvre	1983-heden
Floreffe Wit-Bier	witbier, abdijbier	4,5%	Brouwerij Lefebvre	?-heden
Florilège de Pensée	fruit- en bloemenbier	9%	Brasserie d'Ecaussinnes	?-heden
Florilège de Rose	fruit- en bloemenbier	9%	Brasserie d'Ecaussinnes	?-heden
Florilège de Sureau	fruit- en bloemenbier	9%	Brasserie d'Ecaussinnes	?-?
Florilège d’Hibiscus	fruit- en bloemenbier	9%	Brasserie d'Ecaussinnes	?-heden
Floris Cactus	witbier	4,2%	Brouwerij Huyghe	?-heden
Floris Chocolat	bruin	4,2%	Brouwerij Huyghe	?-heden
Floris Fraise	fruitbier	3,6%	Brouwerij Huyghe	1995?-heden
Floris Framboise	fruitbier	3,7%	Brouwerij Huyghe	1995?-heden
Florisgaarden witbier	witbier	?%	Brouwerij Huyghe	?-?
Floris Griotte	fruitbier	3%	Brouwerij Huyghe	1995?-heden
Floris Honey	honingbier	4,5%	Brouwerij Huyghe	?-heden
Floris Kriek	fruitbier	3,6%	Brouwerij Huyghe	1995?-heden
Floris Mango	fruitbier	3,6%	Brouwerij Huyghe	1995?-heden
Floris Ninkeberry	fruitbier	3,6%	Brouwerij Huyghe	?-heden
Floris Passion	fruitbier	3,6%	Brouwerij Huyghe	1995?-heden
Floris Pear	fruitbier	3,5%	Brouwerij Huyghe	?-heden
Floris Pomme / Apple	fruitbier	3,5%	Brouwerij Huyghe	1995?-heden
Floris Witbier	witbier	5%	Brouwerij Huyghe	1995?-heden
Florival Blond	abdijbier	7%	Affligem Brouwerij (Brouwerij De Smedt)	?-heden (1994-heden)
Florival Bruin	donkerbruin	7%	Affligem Brouwerij	1956-heden (1994-heden
Florival Tripel	tripel	8,5%	Affligem Brouwerij	1957-heden (e 1999-heden)
Florival Winter	roodbruin	9%	Affligem Brouwerij	?-heden (e 2003-heden)
Flurk Tripel	blond	8%	Flurkbrouwers	2012-heden (e 2012-heden)
Foewerbier	amber	7%	Brouwerij Kerkom	?-?
Forestinne Ambrosia	amber	7,5%	Brasserie Caracole	?-?
Forestinne Gothika	scotch	7,5%	Brasserie Caracole	?-?
Forestinne Mysteria	blond speciaalbier	7,5%	Brasserie Caracole	?-?
Forestinne Nordika	kerstbier	7,5%	Brasserie Caracole	?-?
Forestinne Primoria	blond	7,5%	Brasserie Caracole	?-?
Fort Lapin 8	tripel	8%	Brouwerij Fort Lapin	2011-heden
Fortun	blond	7,5%	't Hofbrouwerijke in opdracht van Kempens Landschap voor het Fort van Duffel	?-?
Fortha Blonde	blond	NaN	Brouwerij Verkest	ca'30-1952
Fortha Bruin	bruin	NaN	Brouwerij Verkest	ca'30-1952
Fortha Speciaal	NaN	NaN	Brouwerij Verkest	?-1952
Four Aces Barley Wine	amber	9%	Brouwerij Het Nest	2017-heden
Four Aces Black IPA	IPA	7%	Brouwerij Het Nest	2017-heden
Four Aces Session IPA	blond, IPA	3,5%	Brouwerij Het Nest	2017-heden
Four Aces White IPA	IPA	5,3%	Brouwerij Het Nest	2017-heden
Framboise Boon	lambiek, fruitbier	6%	Brouwerij Boon	1970-heden
Framboise Girardin	lambiek, fruitbier	5%	Brouwerij Girardin	?-heden
Framboise Lindemans	lambiek, fruitbier	2,5%	Brouwerij Lindemans	1980-heden
Framboise Max Jacobins	lambiek, fruitbier	3%	Brouwerij Bockor	?-heden
Framboise Oud Beersel	lambiek, fruitbier	5%	Brouwerij Oud Beersel	?-heden
Frasnoise Givrée	amber	6,3%	Brasserie La Frasnoise	?-?
Frasnoise Rétro	amber	6,3%	Brasserie La Frasnoise	?-?
Freaky	Brown ale	3,8%	Brouwerij Alvinne	?-?
Freaky Dark	lambiek	3,8%	Brouwerij Alvinne	?-?
Freedom Pils	pils	5,2%	Alken-Maes (Heineken)	2001-heden
Fruitig Bierreke	fruitbier	8,2%	Brouwerij DijkWaert	2011-2012
Fruitig Bierreke	fruitbier	6%	Brouwerij DijkWaert	2012-heden
Fumée d'Anvers	NaN	?%	Brouwerij Villers	?-?
Gageleer Original	biologisch bier	7,5%	De Proefbrouwerij voor Natuurpunt	1988-heden
Gageleer Superior Dark	biologisch bier	8,5%	De Proefbrouwerij voor Natuurpunt	1988-heden
Gageleer Sour White No Hops	biologisch bier	4,3%	De Proefbrouwerij voor Natuurpunt	1988-heden
Gamma	bruin	6%	Brouwerij Anders! voor Brussels Beer Project	?-?
Gandavum Dry Hopping	blond	7,5%	De Proefbrouwerij voor Het Waterhuis aan de bierkant	2005-heden
Gaspar	amber	8%	Brouwerij Alvinne	?-heden
Gauloise Ambrée	amber	5,5%	Brasserie Du Bocq	1858?-heden
Gauloise Blonde	blond	6,3%	Brasserie Du Bocq	1858?-heden
Gauloise Brune	bruin	8,1%	Brasserie Du Bocq	1858?-heden
Gauloise Red	fruitbier	8,2%	Brasserie Du Bocq	?-heden
Gauloise Triple Blonde 10	tripel	9,7%	Brasserie Du Bocq	2012?-heden
Gauloise Christmas	kerstbier	8,1%	Brasserie Du Bocq	?-heden
Gentse Strop	blond	6,9%	Brouwerij Roman	2011-heden
Gentse Tripel	blond	8%	Brouwerij Van Steenberge	?-heden
Gertrude Ambrée	amber, hoge gisting	6%	Brasserie de Bouillon	2007-heden
Gertrude Triple	tripel	7,5%	De Proefbrouwerij	2009-heden
Geuze Cantillon 100% Lambic Bio	geuze	5%	Brouwerij Cantillon	?-heden
Gueuze Girardin	geuze	5%	Brouwerij Girardin	?-?
Gueuze Girardin gefilterd	geuze	5%	Brouwerij Girardin	?-?
Geuze Jacobins	geuze	5,5%	Brouwerij Bockor	?-heden
Geuze Lindemans	geuze	5,5%	Brouwerij Lindemans	?-heden
Geuze Mariage Parfait	geuze	8%	Brouwerij Boon	?-?
Ghulden Cop	donkerblond	6%	Brouwerij De Graal	2011 - heden
Gigi speciale	tafelbier	2,5%	Brasserie Gigi	?-?
Gildenbier	hoge gisting, bruin	7%	Brouwerij Haacht	?-?
Ginder Ale	hoge gisting, amber	5,1%	InBev	1928-heden
Gluh kriek	gluhbier	%	Brouwerij Liefmans	?-?
Glutaner	glutenvrij pilsener	5,2%	Brouwerij Huyghe	?-?
Godefroy (bier)	NaN	?%	Brouwerij Duvel Moortgat	?-?
Goedendag	cuvée	7,5%	Brouwerij Toye	2018-heden
Goedendag	donker	7,5%	Brouwerij Toye	2015-heden
Goedendag	goudblond	8%	Brouwerij Toye	2012-heden
Goeie Koffe	stout	9,5%	Brouwerij DijkWaert	2011-heden
Goliath Blonde	hoge gisting, blond	5,5%	Brasserie des Légendes	?-?
Goliath Triple	hoge gisting, tripel	9%	Brasserie des Légendes	?-?
Golden Kenia	pils	5,1%	Brouwerij Huyghe	1945-heden
Golding Campina	pils	4,8%	Alken-Maes (Heineken)	1930-heden
Gold Pils	pils	5%	Brouwerij Bavik	?-heden
Gordon 0,00	alcoholvrij	0%	Group John Martin	?-?
Gordon Finest Chrome	hoge gisting	10,5%	Group John Martin	?-?
Gordon Finest Copper	hoge gisting	6,6%	Group John Martin	?-?
Gordon Finest Gold	hoge gisting	10%	Group John Martin	1992-heden
Gordon Finest Platinum	hoge gisting	12%	Group John Martin	?-?
Gordon Finest Red	hoge gisting, rood	8,4%	Group John Martin	2001-heden
Gordon Finest Scotch	scotch	8,6%	Group John Martin	?-heden
Gordon Finest Silver	hoge gisting	7,7%	Group John Martin	2001-heden
Gordon Finest Zero	alcoholvrij	0%	Group John Martin	?-?
Gordon Five	pils	5%	Group John Martin	?-?
Gordon Xmas	kerstbier	8,8%	Brouwerij Palm voor Group John Martin	?-heden
Goud Vuur	amber, tripel	9%	Brouwerij DijkWaert	2010-2013
Gouden Arend 125	goudblond	8,5%	Brouwerij De Ryck	2011-2011
Gouden Carolus Ambrio	amber	8%	Brouwerij Het Anker	1980-heden
Gouden Carolus Christmas	donker speciaalbier	10,5%	Brouwerij Het Anker	2002-heden
Gouden Carolus Classic	donker speciaalbier	8,5%	Brouwerij Het Anker	?-heden
Gouden Carolus Cuvée van de Keizer Imperial Blond	blond speciaalbier	10%	Brouwerij Het Anker	2008-heden
Gouden Carolus Cuvée van de Keizer Imperial Dark	robijnrood speciaalbier	11%	Brouwerij Het Anker	1999-heden
Gouden Carolus Cuvée van de Keizer Whisky Infused	blond speciaalbier	11,7%	Brouwerij Het Anker	2015-heden
Gouden Carolus Easter	donker speciaalbier	10%	Brouwerij Het Anker	?-heden
Gouden Carolus Hopsinjoor	blond speciaalbier	8%	Brouwerij Het Anker	2008-heden
Gouden Carolus Tripel	tripel	9%	Brouwerij Het Anker	?-heden
Gouden Carolus UL.T.R.A.	blond	3,7%	Brouwerij Het Anker	2018-heden
Gouden Pier Kloeffe	hoge gisting, tripel	8,1%	De Proefbrouwerij voor Brouwerij Slaapmutske	?-?
Goudster	NaN	6,0%	Brouwerij Anders! voor Verenigde Brouwers	?-?
Gouyasse Tradition	hoge gisting, blond	6%	Brasserie des Géants	?-?
Gouyasse Triple	triple	9%	Brasserie des Géants	?-?
Grand Cru Bruocsella	lambiek	5%	Brasserie Cantillon	?-?
Green Buzz	biologisch	6%	Brasserie Millevertus	?-?
Grelotte	kerstbier	9%	Brasserie Grain d'Orge	?-?
Gribousine Blonde	hoge gisting	8,5%	Brasserie La Binchoise (voor Brasserie de Malonne)	?-?
Gribousine Brune	hoge gisting	8%	Brasserie La Binchoise (voor Brasserie de Malonne)	?-?
Gribousine Hiver	winterbier	8,5%	Brasserie La Binchoise (voor Brasserie de Malonne)	?-?
Griboval	hoge gisting	6,5%	Brouwerij Van Den Bossche voor Scouts Moen 50 jaar (2011)	?-?
Grimbergen Blond	abdijbier hoge gisting	6,7%	Alken-Maes (Heineken - Carlsberg)	1993-heden
Grimbergen Cuvée de l'Ermitage	hoge gisting	7,5%	Alken-Maes (Heineken - Carlsberg)	?-heden
Grimbergen Dubbel	hoge gisting	6,5%	Alken-Maes (Heineken - Carlsberg)	1958-heden
Grimbergen Goud 8°	hoge gisting, blond	8%	Alken-Maes (Heineken - Carlsberg)	2008-heden
Grimbergen Optimo Bruno	hoge gisting	10%	Alken-Maes (Heineken - Carlsberg)	1988-heden
Grimbergen Selection	donker, dubbel	7%	Alken-Maes (Heineken - Carlsberg)	?-heden
Grimbergen Tripel	tripel	9%	Alken-Maes (Heineken - Carlsberg)	1962-heden
Grimbergen Winter	winterbier	6,5%	Alken-Maes (Heineken - Carlsberg)	2012-heden
Grisette Ambrée	amber	5%	Brouwerij St-Feuillien	?-?
Grisette Blanche	witbier	5%	Brouwerij St-Feuillien	?-?
Grisette Blonde	blond	4,5%	Brouwerij St-Feuillien	?-?
Grisette Cérise	fruitbier	3,5%	Brouwerij St-Feuillien	?-?
Grisette Country Cool	NaN	3,5%	Brouwerij St-Feuillien	?-?
Grisette Fruits des Bois	fruitbier	3,5%	Brouwerij St-Feuillien	?-?
Groenen tuinbier	NaN	8,5%	Brouwerij Van Steenberghe	?-?
Grotten Flemish Ale	hoge gisting, Belgian strong ale	7,7%	Brouwerij St-Bernardus	?-heden
Grottenbier	hoge gisting	6,5%	Brouwerij St-Bernardus	?-heden
Gruut Amber	amber	6,6%	Stadsbrouwerij Gruut	2009?-heden
Gruut Blond	blond	5,5%	Stadsbrouwerij Gruut	2009?-heden
Gruut Bruin	bruin	8%	Stadsbrouwerij Gruut	2009?-heden
Gruut Inferno	goud	9%	Stadsbrouwerij Gruut	?-heden
Gruut Wit	witbier	5%	Stadsbrouwerij Gruut	?-heden
Guido	hoge gisting	8%	Brouwerij De Regenboog	?-?
Gulden Delle	mengbier	8,5%	Brouwerij De Vlier	2010-heden
Gulden Draak	hoge gisting, donker	10,5%	Brouwerij Van Steenberge	?-heden
Gulden Draak Vintage	hoge gisting, kerst	7,5%	Brouwerij Van Steenberge	?-heden
Gulden Draak 9000 Quadruple	hoge gisting, donker	10,5%	Brouwerij Van Steenberge	2011-heden
Guldenberg	donkerblond abdijbier	8,5%	Brouwerij De Ranke	1994-heden
Gypsy Rose	amber	9%	Brasserie Sainte-Hélène	2005-heden
Haanse Witte	witbier	5,5%	Brouwerij Strubbe voor den Haene	2006-heden
Halleschelle	blond	8,5%	Brouwerij Alvinne	2004-2016
Halleschelle	blond	8,2%	Brouwerij De Leite	2017-heden
Hamse Witten	NaN	?%	Brouwerij Villers	?-?
BHalloween Pumpkin Ale	NaN	?%	Brouwerij Villers	?-?
Hanssens Lambic Experimental Cassis	lambiek, fruitbier	4%	Brouwerij Hanssens	?-?
Hanssens Lambic Experimental Raspberry	lambiek, fruitbier	4%	Brouwerij Hanssens	?-?
Hapkin	hoge gisting, blond	8,5%	Louwaege, later Alken-Maes (Heineken)	?-heden
Harelbekenaar van de abdijhoeve	roodbruin, etiketbier	6%	Brouwerij Van Eecke	1955-heden (e?-?)
Happy Birthday pils	NaN	?%	Brouwerij Villers	?-?
Hector	hoge gisting, tripel	8,2%	Brouwerij De Graal	?-heden
Heer van Biesen	blond, Brett-bier	6,2%	De Proefbrouwerij	?-?
Heeren (bier)	pils	4,8%	André & Valérie Grolet	NaN
Heksemiebier	hoge gisting	6,2%	Microbrouwerij Achilles	2005-heden
Heksenbrij	NaN	?%	Brouwerij Villers	?-?
Hellekapelle	blond	5%	Brouwerij De Bie	?-?
Helleketelbier	amber	7%	Brouwerij De Bie	?-?
Hengstenbier	roodbruin, hoge gisting	5%	Brouwerij Strubbe	1928-?
Hercule Stout	stout	9%	Brasserie des Légendes	?-?
Herkenrode Bruin	abdijbier, bruin	7%	Brouwerij Sint-Jozef	2009-2017
Herkenrode Cister Blond	abdijbier, tripel	6.5%	Brouwerij Sint-Jozef	2017-heden
Herkenrode Noctis Bruin	abdijbier, tripel	7%	Brouwerij Sint-Jozef	2017-heden
Herkenrode Tripel	abdijbier, tripel	7%	Brouwerij Sint-Jozef	2009-2017
Herkenrode Vesper	abdijbier, tripel	9%	Brouwerij Sint-Jozef	2017-heden
Heroes Amazing Blond	sterk blond	8,5%	Heroes Amazing Beer	2018-heden
Heroes Mighty Brown	sterk bruin	8,5%	Heroes Amazing Beer	2021-heden
Heroes Incredible Hop	hoppig blond	8,5%	Heroes Amazing Beer	2021-heden
Heroes Super Saison	dry-hopped saison	6,5%	Heroes Amazing Beer	2021-heden
Heroes Barrel Aged	barrel aged	9,5%	Heroes Amazing Beer	2021-heden
Hertalse Poorter	hoge gisting, blond	6,5%	Brouwerij Slaghmuylder	?-?
Hertenheer	hoge gisting, amber	6,5%	Scheldebrouwerij voor Brouwerij Het Nest	2009-heden
Hervoise	hoge gisting	8,2%	Brasserie Grain d'Orge	NaN
Hik Blond	hoge gisting, ale	6,5%	Brouwerij Het Alternatief bij Brouwerij De Graal	2005-heden
Hik Bruin	hoge gisting	6,5%	Brouwerij Het Alternatief bij Brouwerij De Graal	?-heden
Himelein	hoge gisting	6%	Brouwerij Vissenaken	NaN
Hoegaarden	hoge gisting, witbier	4,9%	Brouwerij De Kluis (InBev)	1966-heden
Hoegaarden 0,0	alcoholvrij witbier	0%	Brouwerij De Kluis (InBev)	?-?
Hoegaarden 0,0 Rosée	alcoholvrij fruitbier	0%	Brouwerij De Kluis (InBev)	?-he'den
Hoegaarden Citron	fruitbier	3%	Brouwerij De Kluis (InBev)	2008-heden
Hoegaarden Grand Cru	hoge gisting	8,5%	Brouwerij De Kluis (InBev)	?-?
Hoegaarden Rosée	fruitbier	3%	Brouwerij De Kluis (InBev)	2007-heden
Hoegaarden Spéciale	hoge gisting, goudblond	5,7%	Brouwerij De Kluis (InBev)	?-heden
Hoegaarden Verboden Vrucht	fruitbier	8,8%	Brouwerij De Kluis (InBev)	?-heden
Hoeve bierl	speciaalbier	?%	Brouwerij Strubbe	?-?
Hof Korvatunturi	hoge gisting, bruin	11%	't Hofbrouwerijke	2008-heden
Hof ten Dormaal Amber	hoge gisting	7,5%	Brouwerij Hof ten Dormaal	2009-heden
Hof ten Dormaal Blond	hoge gisting	8%	Brouwerij Hof ten Dormaal	2010-heden
Hof ten Dormaal Donker	hoge gisting	8,5%	Brouwerij Hof ten Dormaal	2010-heden
Hof ten Dormaal Winter 10	hoge gisting	8%	Brouwerij Hof ten Dormaal	2009-2010
Hofblues	stout	5,5%	't Hofbrouwerijke	?-?
Hofdraak	bruin	6,5%	't Hofbrouwerijke	2006-heden
Hofelf	tarwetripel	7,5%	't Hofbrouwerijke	2007-heden
Hofnar	amber	9%	't Hofbrouwerijke	?-heden
Hofpint	hoge gisting, pils	5,5%	't Hofbrouwerijke	?-?
Hoftrol	amber	6,2%	't Hofbrouwerijke	?-?
Holger	pils	5%	Brouwerij Martens	?-?
Holsbeek Lentetripel	tripel	8,5%	Brouwerij De Vlier	?-?
Hommelbier	goudkleurig, hoge gisting	7,5%	Brouwerij Van Eecke	1981-heden
Hop Harvest	sterk donker	8%	Brouwerij De Ranke	2010-?
Hopkikker	NaN	7%	Brouwerij Boelens	?-?
Hopjutters Triple Hop	India Pale Ale	7,3%	Brouwerij De Graal voor De Hopjutters	?-?
Hop-La	tripel	?%	Brouwerij Vermylen	?-?
Hopmonkey	India Pale Ale	5,5%	Fris en Monter	2016-heden
Hoppa Hontas	India Pale Ale	6,5%	Brouwerij Maenhout	2012-heden
Hoppe	pils	5%	Brouwerij Van Steenberge	?-?
Hoppesnoet	Belgian ale	8,5%	Huisbrouwerij Den Tseut	?-?
Hop Ruiter	tripel	8%	Scheldebrouwerij	2010-?
Hoptimist	NaN	?%	Brouwerij Val-Dieu	?-?
Hopus	hoge gisting, goudblond	8,3%	Brouwerij Lefebvre	2008-heden
Hopverdomme	imperial/double IPA	7,5%	De Struise Brouwers	?-?
Hop Verdomme IPA	IPA	7%	Brouwerij Kerkom	?-?
Horal's Oude Geuze Mega Blend	geuze	7%	3 Fonteinen, Brouwerij Boon, Timmermans, Oud Beersel, Lindemans, De Troch, De Cam, Hanssens	2009, 2011,
Horse-Ale	Spéciale belge	5%	AB-InBev	?-?
Horst bier	lage gisting, blond	6,5%	Brouwerij Haacht	?-?
Hotteuse Grand Cru	donker	8%	Affligem Brouwerij	?-?
Houblon Chouffe Dobbelen IPA Tripel	India Pale Ale	9%	Brouwerij van Achouffe (Duvel-Moortgat)	2006-heden
Hougaerdse Das	hoge gisting, amber	5,1%	Brouwerij De Kluis (InBev)	1996-2009
Houten Kop	speciaalbier	6,5%	Brouwerij Strubbe	1988-heden
Huardis	witbier	5,2%	Brouwerij Nieuwhuys	2009-heden
Ichtegem’s grand cru	NaN	6,5%	Brouwerij Strubbe	2006-heden
Ichtegem's Oud Bruin	roodbruin, hoge gisting	5%	Brouwerij Strubbe	1928-heden
Ignis & Flamma	IPA	7%	De Struise Brouwers bij Brouwerij Deca	2007-heden
Ignis Quadrupel	Quadrupel	10%	Abdijbrouwerij Grimbergen	2021 - heden
I Love You Pils	NaN	?%	Brouwerij Villers	?-?
In de naam van de Vader - Saison	Saison	5,8%	Heilig Hart Brouwerij bij Brouwerij Craywinckelhof	2017-heden
In de naam van de Vader - Dubbel	Dubbel	6,8%	Heilig Hart Brouwerij bij Brouwerij Craywinckelhof	2017-heden
In de naam van de Vader - Tripel	Tripel	7,8%	Heilig Hart Brouwerij bij Brouwerij Craywinckelhof	2017-heden
Inglorious Quad	Quadrupel	10,3%	Brouwerij Anders! voor Inglorious Brew Stars	?-?
IM-JIN	amber	7,5%	Brasserie Grain d'Orge	?-?
Iris	spontane gisting, amber	6%	Brouwerij Cantillon	1996-heden
Irma	fruitbier	6%	voor bierfirma Vacas	?-heden
Itters Bruin	tafelbier	1,3%	Brouwerij Sint-Jozef	?-heden
Jack'Ouille	blond	6,5%	Brasserie de Bouillon	?-?
Jack-Op	NaN	NaN	Brouwerij Jack-Op	1869-1965
Jack-Op	gemengde gisting	5,5%	Brouwerij Boon	2010-heden
Jaded Stillwater Artisanal	Belgo/american ale	10%	De Struise Brouwers bij Brouwerij Deca	?-?
Jambe-de-bois	tripel	8%	Brouwerij De Ranke voor Brasserie de la Senne	?-heden
Jan Buuc	etiketbier	7,5%	Brouwerij Het Sas	1955-heden (e ?-heden)
Jan De Lichte	witbier	7%	Brouwerij De Glazen Toren	2005-heden
Jan van Gent	blond	5,5%	Brouwerij Liefmans	?-?
Jan van Oudenaarde	blond	8%	Brouwerij Slaapmutske	2012-heden
