beername	beer_style	alcohol_percentage	brewery	start_production	end_production	beer_rating
Barbãr	Blond, Honey Beer	8	Brouwerij Lefebvre	1995	Present	3.488
Barbãr Winter Bok	Bock Beer, Honey Beer	8.5	Brouwerij Lefebvre	1997	Present	3.49
Barbãr Cuveé Special	Honey Beer	8	Brouwerij Lefebvre	2016	Present	3.405
Barbãr Rouge	Honey Cherry Beer	8	Brouwerij Lefebvre	2018	Present	3.349
Barbe d'Or (Goudbaard)	Blond	7.5	Brouwerij Verhaeghe	2009	Present	No Rating Found
Barbe Noire (Zwartbaard)	Stout	9	Brouwerij Verhaeghe	2011	Present	No Rating Found
Barbe Rouge (Roodbaard)	Amber	8	Brouwerij Verhaeghe	2010	Present	No Rating Found
Barse Cuvée	Brown	10	Bierfirma Valocco	2013	Present	3.489
Bas	Golden Blonde	6.5	De Proefbrouwerij voor bierfirma Bas-bieren	2008	Present	3.508
Bastogne Pale Ale	Belgian Ipa	6.5	Brasserie de Bastogne	2011	Present	3.396
Basilius	Amber	7	De Proefbrouwerij voor 't Brugs Bierinstituut	2011	Present	3.38
Bavaro	Blond, Bottom Fermentation	3.6	Brouwerij Haacht	?	Present	No Rating Found
Bavik Blond	Table Beer	1.5	Brouwerij Bavik	?	Present	3.492
Bavik Faro	Table Beer	1.5	Brouwerij Bavik	?	Present	2.436
Bavik Pony-Stout	Stout	5.2	Brouwerij Bavik	?	Present	2.567
Bavik Premium Pils	Pilsner	5.2	Brouwerij Bavik	?	Present	3.323
Bavik Witbier	Wheat Beer	5.2	Brouwerij Bavik	?	?	3.462
Bavik Triple Bock	Bock Beer	3	Brouwerij Bavik	?	Present	2.489
Beer for Life	Blond	6.5	Brouwerij Dilewyns	2011	2011	3.415
Beernems Berenbier	Blond	7.5	brouwerij De Smedt nu Brouwerij Van Steenberge voor BIVO Drinks	2003	?	No Rating Found
Beersel Bio	Blond	7	Geuzestekerij 3 Fonteinen	?	?	3.18
Beersel Blond	Blond	7	Geuzestekerij 3 Fonteinen	?	?	3.291
Beersel Lager	Pilsner	5.2	Geuzestekerij 3 Fonteinen	?	?	3.414
Bel Pils	Pilsner	5	Brouwerij Duvel Moortgat	?	?	2.844
Belgian Angel Stout	Stout	5.2	Brasserie Brootcoorens	?	?	3.561
Belgian Framboises	Fruit Beer	3.5	Brasserie Lefebvre	2004	Present	3.123
Belgian Kriek	Fruit Beer	3.5	Brasserie Lefebvre	2003	Present	3.564
Belge	Special Belgian	5	Brasserie La Binchoise	2003	Present	3.462
Belge	Nan	NaN	Brasserie Devaux	?	2003	3.462
Belgian Pêches	Fruit Beer	3.5	Brasserie Lefebvre	2003	Present	3.188
Belgica IPA	Ipa	7.9	Brouwerij Strubbe	?	?	3.491
Belgissimum	Nan	NaN	Brouwerij Bios	?	?	No Rating Found
Belgoo Arboo	Triple, Amber	8.1	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007	Present	3.425
Belgoo Bio Amber	Biological	7.8	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?	Present	3.304
Belgoo Bio Blond	Biological	6.4	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?	Present	3.412
Belgoo Magus	Blond	6.6	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007	Present	3.447
Belgoo Maxus	Golden Blonde	8.1	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007	Present	No Rating Found
Belgoo Luppoo	Golden Blonde	6.5	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007	Present	No Rating Found
Bella Mère	Blond	6.5	Brasserie Millevertus	2006	Present	3.313
Belle Cies	Blond	10	Huisbrouwerij Den Tseut	?	Present	3.578
Belle de Pevele	Nan	NaN	Brouwerij Brunehaut	?	?	3.196
Belle-Fleur	Ipa	6	Brouwerij De Dochter van de Korenaar	?	Present	3.635
Belle-Vue Framboise	Fruit Beer	5.7	Brouwerij Belle-Vue (InBev)	?	Present	2.99
Belle-Vue Extra Framboise	Fruit Beer	2.9	Brouwerij Belle-Vue (Inbev)	?	Present	3.181
Belle-Vue Kriek	Kriek	5.2	Brouwerij Belle-Vue (InBev)	?	Present	3.199
Belle-Vue Kriek Classique	Kriek	5.1	Brouwerij Belle-Vue (Inbev)	?	Present	3.116
Belle-Vue Kriek Primeur	Lambic	5.5	Brouwerij Belle-Vue (InBev)	1992	2004	3.27
Belle-Vue Extra Kriek	Kriek	4.3	Brouwerij Belle-Vue (InBev)	2004	Present	3.358
Belle-Vue Gueuze	Lambic	5.5	Brouwerij Belle-Vue (InBev)	?	Present	2.971
Belle-Vue Selection Lambik	Lambic	5.2	Brouwerij Belle-Vue (InBev)	1991	1999	2.683
Belle-Vue LA	Low In Alcohol	1	Brouwerij Belle-Vue (Inbev)	?	Present	3.199
Bellebier Amber	Amber	5.2	Brouwerij Van Steenberge voor Paeleman	?	?	3.847
Bellebier Dubbel	Brown	6.2	Brouwerij Van Steenberge voor Paeleman	?	?	3.209
Bellebier Trippel	Triple	8	Brouwerij Van Steenberge voor Paeleman	?	?	3.125
Bellegems Bruin	Flemish Old Brown	5.5	Brouwerij Bockor	?	2012	3.664
Bellegems Witbier	Wheat Beer	5.0	Brouwerij Bockor	2008	Present	3.23
Belval	Blond	4.8	Gageleer	2010	2012	2.688
Berentemmer	Brown	7	Brouwerij Maenhout	2011	Present	3.2
Bersalis Tripel	Blond, Top Fermentation, Triple	9.5	Brouwerij Huyghe voor Brouwerij Oud Beersel	2005	Present	3.591
Bersalis Kadet	Blond	4.5	Brouwerij Huyghe voor Brouwerij Oud Beersel	2005	Present	3.062
Bertinchamps B+ Blanche	Wheat Beer	5	Brasserie de Bertinchamps	?	?	3.342
Bertinchamps B+ Pamplemousse	Fruit Beer	5.2	Brasserie de Bertinchamps	?	?	3.036
Bertinchamps Blonde	Blond	6.2	Brasserie de Bertinchamps	?	?	3.393
Bertinchamps Brune	Brown	7	Brasserie de Bertinchamps	?	?	3.477
Bertinchamps Hiver	Winter Beer	8	Brasserie de Bertinchamps	?	?	3.377
Bertinchamps Triple	Triple	8	Brasserie de Bertinchamps	?	?	3.519
Beta	Dark Amber	6	Brouwerij Anders! voor Brussels Beer Project	?	?	3.808
Betchard Brune	Brown	7	Brasserie de Tubize	?	?	3.276
Betchard Blonde	Blond	5.5	Brasserie de Tubize	?	?	3.255
Bieken	Blond	8	Brouwerij Boelens	1993	Present	3.369
Bierbeekse	Blond-Amber, Top Fermentation	7.3	Brouwerij Van Steenberge voor de gemeente Bierbeek en Terclavers	2003	Present	3.31
Bierbuik	Dark	8	De Verhuisbrouwerij	1999	?	3.623
Bière Darbyste	Amber	5.8	Brasserie de Blaugies	1990	Present	3.611
Bière de Beloeil	Top Fermentation	8.5	Brasserie Dupont	1988	Present	3.732
Bière de Garde	Organic, Red Brown	10	Brouwerij Jessenhofke bij De Proefbrouwerij	2010	Present	3.601
Bière de la Bonde	Triple	10	Brouwerij Van Eecke	1964	Present	No Rating Found
Bière de Miel Bio	Honey Beer	8	Brouwerij Rimaux-Deridder	1880	1920	3.469
Bière de Miel Bio	Organic, Honey Beer	8	Brouwerij Dupont	1997	Present	3.469
Bière des Ours (Berenbier)	Honey Beer	8.5	Brasserie La Binchoise	1995	Present	3.311
Bière du Corsaire Cuvée Spéciale	Strong Blonde	9.4	Brouwerij Huyghe	1992	Present	3.425
Bière du Mont Saint-Aubert	Blond	8	Brasserie de Brunehaut	1993	Present	3.331
Bière Spéciale Belge	Special Belgian	5	Brasserie La Binchoise	2003	Present	No Rating Found
Big Bavik	Blond	5	Brouwerij Bavik	?	?	No Rating Found
Bierpruver Dubbel Bruin	Double	7.5	Huisbrouwerij de 3 vaten	2011	Present	3.15
Bierpruver Tripel	Triple	9	Huisbrouwerij de 3 vaten	2011	Present	3.373
Bierpruver Winter	Winter Beer	8	Huisbrouwerij de 3 vaten	?	Present	No Rating Found
Big Bayou	With Cajun Spices	4	Brouwerij Smisje	?	?	3.85
Bink Blond	Belgian Pale Ale	5.5	Brouwerij Kerkom	1988	Present	3.286
Bink Bruin	Double	5.5	Brouwerij Kerkom	?	?	3.279
Bink Bloesem	Blond	7.1	Brouwerij Kerkom	2000	Present	3.18
Bink Tripel	Triple	9	Brouwerij Kerkom	2003	Present	3.558
Biolégère	Biological	3.5	Brouwerij Dupont	1992	Present	3.019
Bioloo Amber	Biological	7.8	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?	Present	3.304
Bioloo Blond	Biological	6.4	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?	Present	3.412
Bitter Sweet Symphony	Double Ipa	7.8	Brouwerij 't Gaverhopke	?	?	3.57
Bittere Waarheid	Belgian Ipa	11	Brouwerij Het Alternatief bij Brouwerij De Graal	?	?	3.456
Black	Dark Ale	6.3	Brasserie de Bellevaux	?	Present	3.798
Black Albert	Belgian Royal Stout	13	De Struise Brouwers bij Brouwerij Deca	?	?	4.185
Black Damnation	Russian Imperial Stout	13	De Struise Brouwers bij Brouwerij Deca	?	?	4.073
Black Damnation I (Albert)	Russian Imperial Stout	13	De Struise Brouwers bij Brouwerij Deca	?	?	4.153
Black Damnation II (Mocha Bomb)	Russian Imperial Stout	12	De Struise Brouwers bij Brouwerij Deca	?	?	4.073
Black Damnation III (Black Mes)	Russian Imperial Stout	13	De Struise Brouwers bij Brouwerij Deca	?	?	4.363
Black Damnation IV (Coffée Club)	Russian Imperial Stout	13	De Struise Brouwers bij Brouwerij Deca	?	?	4.043
Black Damnation V (Double Black)	Russian Imperial Stout, Eisbock Method	26	De Struise Brouwers bij Brouwerij Deca	?	?	4.351
Black Damnation VI (Messy)	Russian Imperial Stout, Eisbock Method	39	De Struise Brouwers bij Brouwerij Deca	?	?	4.189
Black Damnation VII (Single Black)	Russian Imperial Stout, Eisbock Method	2	De Struise Brouwers bij Brouwerij Deca	?	?	3.212
Black Damnation VIII (S.H.I.T))	Russian Imperial Stout	12	De Struise Brouwers bij Brouwerij Deca	?	?	3.94
Black Damnation IX (Beggars' Art)	Russian Imperial Stout	19.1	De Struise Brouwers bij Brouwerij Deca	?	?	4.181
Black Damnation X (Double Wood)	Russian Imperial Stout	15	De Struise Brouwers bij Brouwerij Deca	?	?	4.103
Black Damnation XI (Special Kay)	Russian Imperial Stout, Eisbock Method	22	De Struise Brouwers bij Brouwerij Deca	?	?	4.173
Black Damnation XII (Nuptiale A2)	Russian Imperial Stout	13	De Struise Brouwers bij Brouwerij Deca	?	?	4.218
Black Damnation XIII (More anger)	Russian Imperial Stout	13.5	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.268
Black Damnation XIV (Talisman)	Russian Imperial Stout	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.269
Black Damnation XV (Drone)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.247
Black Damnation XVI (Ivan the Terrible)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.227
Black Damnation XVII (Ben)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.172
Black Damnation XVIII (Major Tom)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.223
Black Damnation XIX (Maestro)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.13
Black Damnation XX (Ma Boule)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.235
Black Damnation XXI (Black Mes SR)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	No Rating Found
Black Damnation XXII (Willy)	Russian Imperial Stout, Eisbock Method	13	De Struise Brouwers bij Brouwerij Deca	2013	Present	4.139
Black Ghost	Top Fermentation	8	Brasserie Fantôme	?	Present	3.753
Black Hole	Pilsner	5.6	Brouwerij Roman	2005	Present	4.021
Black Jack	Porter	7	De Struise Brouwers bij Brouwerij Deca	?	?	4.004
Blanche	Wheat Beer	4.8	Brasserie de Bellevaux	?	Present	3.584
Blanche d'Ardenne	Wheat Beer	4.3	Brasserie du Bocq voor Corsendonk nv	?	Present	3.386
Blanche de Bouillon	Wheat Beer	5.5	Brasserie de Bouillon	?	Present	3.277
Blanche de Brabant	Wheat Beer	5	Groep John Martin	?	Present	3.457
Blanche de Bruxelles	Wheat Beer	4.5	Brouwerij Lefebvre	1989	Present	3.547
Blanche de Charleroi	Wheat Beer	5	Brasserie Val de Sambre	2000	Present	3.391
Blanche de Francorchamps	Wheat Beer	4.5	Brouwerij Lefebvre	1989	Present	No Rating Found
