beer_name	beer_style	username	taste_rating
Steenbrugge Wit	Witbier	liinis	6
Steenbrugge Wit	Witbier	Miksu	8
Steenbrugge Wit	Witbier	tomer	7
Steenbrugge Wit	Witbier	rosenbergh	6
Steenbrugge Wit	Witbier	mike1977ok	8
Steenbrugge Tripel	Tripel	hopscotch	7
Steenbrugge Tripel	Tripel	Stefano	6
Steenbrugge Tripel	Tripel	malrubius	7
Steenbrugge Tripel	Tripel	RuneStumo	6
Steenbrugge Tripel	Tripel	PilsnerPeter	7
Steenbrugge Tripel	Tripel	Meatmallet	6
Steenbrugge Tripel	Tripel	Gary	5
Steenbrugge Tripel	Tripel	yngwie	7
Steenbrugge Tripel	Tripel	FlacoAlto	6
Steenbrugge Tripel	Tripel	alobar	7
Steenbrugge Tripel	Tripel	JanEric	7
Steenbrugge Tripel	Tripel	michael-pollack	8
Steenbrugge Tripel	Tripel	RichardGretton	4
Steenbrugge Tripel	Tripel	Rune	8
Steenbrugge Tripel	Tripel	OleR	6
Steenbrugge Tripel	Tripel	MesandSim	7
Steenbrugge Tripel	Tripel	KimJohansen	8
Steenbrugge Tripel	Tripel	bembelembe	6
Steenbrugge Tripel	Tripel	BoBoChamp	7
Steenbrugge Tripel	Tripel	thewolf	7
Steenbrugge Tripel	Tripel	gnoff	6
Steenbrugge Tripel	Tripel	faroeviking	5
Steenbrugge Tripel	Tripel	shrubber85	7
Steenbrugge Tripel	Tripel	skortila	6
Steenbrugge Tripel	Tripel	NoiZe	8
Steenbrugge Tripel	Tripel	note666	7
Steenbrugge Tripel	Tripel	heavy	7
Steenbrugge Tripel	Tripel	Jukkabro	7
Steenbrugge Tripel	Tripel	Skinnyviking	7
Steenbrugge Tripel	Tripel	Rastacouere	7
Steenbrugge Tripel	Tripel	Hugh	6
Steenbrugge Tripel	Tripel	Marko	5
Steenbrugge Tripel	Tripel	ogivlado	6
Steenbrugge Tripel	Tripel	FrankJohansen	6
Steenbrugge Tripel	Tripel	oh6gdx	6
Steenbrugge Tripel	Tripel	TBone	5
Steenbrugge Tripel	Tripel	bager	6
Steenbrugge Tripel	Tripel	iosonomarco	6
Steenbrugge Tripel	Tripel	joergen	5
Steenbrugge Tripel	Tripel	omhper	7
Steenbrugge Tripel	Tripel	GSAP	6
Steenbrugge Tripel	Tripel	kp	5
Steenbrugge Tripel	Tripel	halfonit	6
Steenbrugge Tripel	Tripel	5000	5
Steenbrugge Tripel	Tripel	jimmack	9
Steenbrugge Tripel	Tripel	aspidites	6
Steenbrugge Tripel	Tripel	Spiesy	7
Steenbrugge Tripel	Tripel	Pigfoot	6
Steenbrugge Tripel	Tripel	lachesis	6
Steenbrugge Tripel	Tripel	Gromit	7
Steenbrugge Tripel	Tripel	Kåstå	6
Steenbrugge Tripel	Tripel	thedm	7
Steenbrugge Tripel	Tripel	Indra	7
Steenbrugge Tripel	Tripel	presario	6
Steenbrugge Tripel	Tripel	Murphy	3
Steenbrugge Tripel	Tripel	Uglyradio	8
Steenbrugge Tripel	Tripel	JPDIPSO	5
Steenbrugge Tripel	Tripel	pilsnerrogge	7
Steenbrugge Tripel	Tripel	OlJuntan64	6
Steenbrugge Tripel	Tripel	kmeves	7
Steenbrugge Tripel	Tripel	belgianhomebrew	8
Steenbrugge Tripel	Tripel	legion242	8
Steenbrugge Tripel	Tripel	NJJereme	6
Steenbrugge Tripel	Tripel	teddybeer	6
Steenbrugge Tripel	Tripel	Benzai	7
Steenbrugge Tripel	Tripel	nick76	7
Steenbrugge Tripel	Tripel	Spelt	6
Steenbrugge Tripel	Tripel	beernovice39	7
Steenbrugge Tripel	Tripel	smith4498	7
Steenbrugge Tripel	Tripel	JDBaker11058	7
Steenbrugge Tripel	Tripel	Cuso	7
Steenbrugge Tripel	Tripel	garza	7
Steenbrugge Tripel	Tripel	wbdace	5
Steenbrugge Tripel	Tripel	glennmastrange	8
Steenbrugge Tripel	Tripel	Scouser	6
Steenbrugge Tripel	Tripel	crossovert	8
Steenbrugge Tripel	Tripel	psilosophy	6
Steenbrugge Tripel	Tripel	puboflyons	7
Steenbrugge Tripel	Tripel	Vaiz	6
Steenbrugge Tripel	Tripel	Nordcore	6
Steenbrugge Tripel	Tripel	checkmatei1	7
Steenbrugge Tripel	Tripel	Wheatyweiss	6
Steenbrugge Tripel	Tripel	Countbeer	4
Steenbrugge Tripel	Tripel	pilgrimoutlaw	8
Steenbrugge Tripel	Tripel	ClubGonzo	7
Steenbrugge Tripel	Tripel	Miksu	7
Steenbrugge Tripel	Tripel	TaxiDriver	7
Steenbrugge Tripel	Tripel	larsga	7
Steenbrugge Tripel	Tripel	gunnar	5
Steenbrugge Tripel	Tripel	mikkopen	5
Steenbrugge Tripel	Tripel	Ughsmash	7
Steenbrugge Tripel	Tripel	kevd193213	6
Steenbrugge Tripel	Tripel	BillKismet	6
Steenbrugge Tripel	Tripel	bhensonb	4
Peerdebrug Blond	Blond	markas101	3
Peerdebrug Blond	Blond	EFC1878	7
Peerdebrug Blond	Blond	Fin	4
Peerdebrug Blond	Blond	DruncanVeasey	6
Palm Royale	Sterke ale	Borresteijn	7
Palm Royale	Sterke ale	Yves	7
Palm Royale	Sterke ale	chilangoglobal	3
Palm Royale	Sterke ale	FrankJohansen	6
Palm Royale	Sterke ale	Beer2000	6
Palm Royale	Sterke ale	daknole	3
Palm Royale	Sterke ale	shrubber85	6
Palm Royale	Sterke ale	asheft	6
Palm Royale	Sterke ale	omhper	6
Palm Royale	Sterke ale	MoritzF	4
Palm Royale	Sterke ale	Slacks	6
Palm Royale	Sterke ale	TorbenH	7
Palm Royale	Sterke ale	thewolf	6
Palm Royale	Sterke ale	fonefan	6
Palm Royale	Sterke ale	RichardGretton	6
Palm Royale	Sterke ale	YK23	5
Palm Royale	Sterke ale	oberabcbbsok	5
Palm Royale	Sterke ale	Hansen	5
Palm Royale	Sterke ale	MiP	6
Palm Royale	Sterke ale	Hangover	4
Palm Royale	Sterke ale	Oakes	8
Palm Royale	Sterke ale	bask	7
Palm Royale	Sterke ale	kopestes	6
Palm Royale	Sterke ale	Marko	5
Palm Royale	Sterke ale	dornoy	7
Palm Royale	Sterke ale	Glouglouburp	7
Palm Royale	Sterke ale	altonbrownd	8
Palm Royale	Sterke ale	pivnizub	6
Palm Royale	Sterke ale	Otje	5
Palm Royale	Sterke ale	TheBeerGod	5
Palm Royale	Sterke ale	Bart	6
Palm Royale	Sterke ale	Sten	6
Palm Royale	Sterke ale	Papsoe	6
Palm Royale	Sterke ale	Engelsmann	6
Palm Royale	Sterke ale	aspidites	5
Palm Royale	Sterke ale	lachesis	6
Palm Royale	Sterke ale	skortila	4
Palm Royale	Sterke ale	Hildigöltur	5
Palm Royale	Sterke ale	fomentateur	6
Palm Royale	Sterke ale	Bov	3
Palm Royale	Sterke ale	lord_totenkopf	6
Palm Royale	Sterke ale	MrHangover	7
Palm Royale	Sterke ale	MADpalace	8
Palm Royale	Sterke ale	Swaroga	8
Palm Royale	Sterke ale	jbrus	6
Palm Royale	Sterke ale	Kåstå	5
Palm Royale	Sterke ale	jerohen	8
Palm Royale	Sterke ale	bierkoning	6
Palm Royale	Sterke ale	inbirraveritas	7
Palm Royale	Sterke ale	Kristall-König	6
Palm Royale	Sterke ale	Koelschtrinker	7
Palm Royale	Sterke ale	deanso	4
Palm Royale	Sterke ale	madmitch76	1
Palm Royale	Sterke ale	txspartan	6
Palm Royale	Sterke ale	Nekronos	7
Palm Royale	Sterke ale	FatPhil	4
Palm Royale	Sterke ale	jaghana	7
Palm Royale	Sterke ale	wekker84	4
Palm Royale	Sterke ale	blipp	6
Palm Royale	Sterke ale	Abio	5
Palm Royale	Sterke ale	KAggie97	5
Palm Royale	Sterke ale	saxo	3
Palm Royale	Sterke ale	armando629	6
Palm Royale	Sterke ale	Finn	6
Palm Royale	Sterke ale	Dogbrick	7
Palm Royale	Sterke ale	turbothy	4
Palm Royale	Sterke ale	zvikar	4
Palm Royale	Sterke ale	mirjukka	4
Palm Royale	Sterke ale	TBone	4
Palm Royale	Sterke ale	Brandman	5
Palm Royale	Sterke ale	tlind2	2
Palm Royale	Sterke ale	daniele	6
Palm Royale	Sterke ale	faroeviking	4
Palm Royale	Sterke ale	danielyabu	6
Palm Royale	Sterke ale	KyotoLefty	6
Palm Royale	Sterke ale	MennoO	6
Palm Royale	Sterke ale	fata2683	5
Palm Royale	Sterke ale	KimJohansen	6
Palm Royale	Sterke ale	Maria	7
Palm Royale	Sterke ale	BeerBiker	6
Steenbrugge Abdij Bock	Bokbier donker	deanso	6
Steenbrugge Abdij Bock	Bokbier donker	Countbeer	7
Steenbrugge Abdij Bock	Bokbier donker	Benzai	4
Steenbrugge Abdij Bock	Bokbier donker	Jerre	7
Steenbrugge Abdij Bock	Bokbier donker	dutchbeerpages	7
Steenbrugge Abdij Bock	Bokbier donker	maupie	5
Steenbrugge Blond	Blond	Grossecaisse	5
Steenbrugge Blond	Blond	larsga	7
Steenbrugge Blond	Blond	OleR	6
Steenbrugge Blond	Blond	patrick767	6
Steenbrugge Blond	Blond	Bosskie	7
Steenbrugge Blond	Blond	Svesse	6
Steenbrugge Blond	Blond	wyzzywyz22	7
Steenbrugge Blond	Blond	harrisoni	6
Steenbrugge Blond	Blond	imdownthepub	6
Steenbrugge Blond	Blond	cgarvieuk	5
Steenbrugge Blond	Blond	mike1977ok	7
Steenbrugge Blond	Blond	gmonroe10	5
Steenbrugge Blond	Blond	Sigmund	6
Steenbrugge Blond	Blond	Yves	6
Steenbrugge Blond	Blond	oh6gdx	6
Steenbrugge Blond	Blond	Bart	6
Steenbrugge Blond	Blond	weaselkenievil	4
Steenbrugge Blond	Blond	Ober	6
Steenbrugge Blond	Blond	JorisPPattyn	6
Steenbrugge Blond	Blond	Bullit	5
Steenbrugge Blond	Blond	note666	6
Steenbrugge Blond	Blond	Jerre	7
Steenbrugge Blond	Blond	altonbrownd	7
Steenbrugge Blond	Blond	ogivlado	5
Steenbrugge Blond	Blond	beermaster1989	6
Steenbrugge Blond	Blond	Shaney	7
Steenbrugge Blond	Blond	williamstome	7
Steenbrugge Blond	Blond	JK	7
Steenbrugge Blond	Blond	Palidor19	7
Steenbrugge Blond	Blond	reebtogi	6
Steenbrugge Blond	Blond	Benzai	7
Steenbrugge Blond	Blond	daje	8
Steenbrugge Blond	Blond	Palme	7
Steenbrugge Blond	Blond	wekker84	8
Steenbrugge Blond	Blond	77ships	6
Steenbrugge Blond	Blond	TaxiDriver	7
Steenbrugge Blond	Blond	bu11zeye	8
Steenbrugge Blond	Blond	otakuden	6
Steenbrugge Blond	Blond	Dedollewaitor	7
Steenbrugge Blond	Blond	marcus	5
Steenbrugge Blond	Blond	humulushound	7
Steenbrugge Blond	Blond	thewolf	6
Steenbrugge Blond	Blond	Totochtin	7
Steenbrugge Blond	Blond	sm89walt	6
Steenbrugge Blond	Blond	BelgBeerGeek	5
Steenbrugge Blond	Blond	Rune	5
Steenbrugge Blond	Blond	Miksu	6
Steenbrugge Blond	Blond	gunnar	5
Steenbrugge Blond	Blond	mcberko	6
Steenbrugge Blond	Blond	Nekronos	6
Steenbrugge Blond	Blond	Theis	5
Steenbrugge Blond	Blond	Ungstrup	7
Steenbrugge Blond	Blond	Papsoe	7
Steenbrugge Blond	Blond	danielyabu	7
Steenbrugge Blond	Blond	tlind2	8
Steenbrugge Blond	Blond	hopscotch	7
Steenbrugge Blond	Blond	sayravai	6
Steenbrugge Blond	Blond	Beer2000	5
Steenbrugge Blond	Blond	fonefan	5
Steenbrugge Blond	Blond	hirigalzkar	6
Brugse Tripel	Tripel	Wiseblood	6
Brugse Tripel	Tripel	LINKBREW	8
Brugse Tripel	Tripel	JorisPPattyn	7
Brugse Tripel	Tripel	ante	8
Brugse Tripel	Tripel	Frank	8
Brugse Tripel	Tripel	Linc	7
Brugse Tripel	Tripel	rauchbier	8
Brugse Tripel	Tripel	Uglyradio	7
Brugse Tripel	Tripel	imdownthepub	8
Brugse Tripel	Tripel	redlem	8
Brugse Tripel	Tripel	Prostman	9
Brugse Tripel	Tripel	pivo	7
Brugse Tripel	Tripel	diabel	9
Brugse Tripel	Tripel	mrkimchee	8
Brugse Tripel	Tripel	Hildigöltur	8
Brugse Tripel	Tripel	MartinKubert	8
Brugse Tripel	Tripel	motelpogo	9
Brugse Tripel	Tripel	skortila	8
Brugse Tripel	Tripel	Kåstå	6
Brugse Tripel	Tripel	Indra	7
Brugse Tripel	Tripel	stic	7
Brugse Tripel	Tripel	brewbandit	6
Brugse Tripel	Tripel	jerohen	7
Brugse Tripel	Tripel	belgianhomebrew	8
Brugse Tripel	Tripel	DougShoemaker	7
Brugse Tripel	Tripel	bierkoning	9
Brugse Tripel	Tripel	OlJuntan64	2
Brugse Tripel	Tripel	beerledgend	7
Brugse Tripel	Tripel	pilsnerrogge	6
Brugse Tripel	Tripel	Belgik	6
Brugse Tripel	Tripel	zyster99	6
Brugse Tripel	Tripel	jbrus	9
Brugse Tripel	Tripel	daboskabouter	8
Brugse Tripel	Tripel	Einned99	8
Brugse Tripel	Tripel	Loic99	8
Brugse Tripel	Tripel	cousse99	10
Brugse Tripel	Tripel	MonkeyProver99	8
Brugse Tripel	Tripel	Bov	9
Brugse Tripel	Tripel	rsyemmr	8
Brugse Tripel	Tripel	Chudwick	10
Brugse Tripel	Tripel	TaxiDriver	7
Brugse Tripel	Tripel	Allen	7
Brugse Tripel	Tripel	thewolf	6
Brugse Tripel	Tripel	KimJohansen	8
Brugse Tripel	Tripel	Fin	8
Brugse Tripel	Tripel	swoopjones	7
Brugse Tripel	Tripel	kp	5
Brugse Tripel	Tripel	dornoy	7
Brugse Tripel	Tripel	MesandSim	10
Brugse Tripel	Tripel	SHIG	8
Brugse Tripel	Tripel	BeerBiker	3
Brugse Tripel	Tripel	LomYst	8
Brugse Tripel	Tripel	reakt	5
Brugse Tripel	Tripel	jimmack	4
Brugse Tripel	Tripel	Dickinsonbeer	7
Brugse Tripel	Tripel	Bart	7
Brugse Tripel	Tripel	thedm	7
Brugse Tripel	Tripel	Emil	8
Brugse Tripel	Tripel	hughie	7
Brugse Tripel	Tripel	HansVC	7
Brugse Tripel	Tripel	MaiBockAddict	6
Brugse Tripel	Tripel	Papsoe	9
Brugse Tripel	Tripel	aspidites	8
Brugse Tripel	Tripel	marcus	6
Brugse Tripel	Tripel	hotstuff	6
Brugse Tripel	Tripel	PetetheMeat	6
Brugse Tripel	Tripel	Shag	6
Brugse Tripel	Tripel	Spiesy	7
Brugse Tripel	Tripel	Crockett	7
Brugse Tripel	Tripel	Jeppe	7
Brugse Tripel	Tripel	fiulijn	7
Brugse Tripel	Tripel	Nate	8
Brugse Tripel	Tripel	Boystout	7
Brugse Tripel	Tripel	RobBestwick	8
St. Bernardus Prior 8	Dubbel abdij	CheersMate	9
St. Bernardus Prior 8	Dubbel abdij	Brix	9
St. Bernardus Prior 8	Dubbel abdij	LinusStick	9
St. Bernardus Prior 8	Dubbel abdij	ScoWRee	9
St. Bernardus Prior 8	Dubbel abdij	drewbeerme	7
St. Bernardus Prior 8	Dubbel abdij	larsga	7
St. Bernardus Prior 8	Dubbel abdij	eyesandsmiles	7
St. Bernardus Prior 8	Dubbel abdij	brentfeesh	8
St. Bernardus Prior 8	Dubbel abdij	cbrixius	8
St. Bernardus Prior 8	Dubbel abdij	drfabulous	7
St. Bernardus Prior 8	Dubbel abdij	BrandonB	7
St. Bernardus Prior 8	Dubbel abdij	TheGrandMaster	7
St. Bernardus Prior 8	Dubbel abdij	faroeviking	6
St. Bernardus Prior 8	Dubbel abdij	detroiter	7
St. Bernardus Prior 8	Dubbel abdij	RichJ7	7
St. Bernardus Prior 8	Dubbel abdij	Glouglouburp	8
St. Bernardus Prior 8	Dubbel abdij	saxo	7
St. Bernardus Prior 8	Dubbel abdij	bergface	5
St. Bernardus Prior 8	Dubbel abdij	beachbum25	8
St. Bernardus Prior 8	Dubbel abdij	talon1117	9
St. Bernardus Prior 8	Dubbel abdij	BigBen2120	7
St. Bernardus Prior 8	Dubbel abdij	f351c4v	8
St. Bernardus Prior 8	Dubbel abdij	Marsiblursi	8
St. Bernardus Prior 8	Dubbel abdij	rudolf	8
St. Bernardus Prior 8	Dubbel abdij	alexanderj	7
St. Bernardus Prior 8	Dubbel abdij	voota	9
St. Bernardus Prior 8	Dubbel abdij	illinismitty	8
St. Bernardus Prior 8	Dubbel abdij	erway	8
St. Bernardus Prior 8	Dubbel abdij	mjg74	9
St. Bernardus Prior 8	Dubbel abdij	FROTHINGSLOSH	8
St. Bernardus Prior 8	Dubbel abdij	Harsebrau	8
St. Bernardus Prior 8	Dubbel abdij	kopestes	9
St. Bernardus Prior 8	Dubbel abdij	JohnnyJ	7
St. Bernardus Prior 8	Dubbel abdij	JB175	7
St. Bernardus Prior 8	Dubbel abdij	hippk	7
St. Bernardus Prior 8	Dubbel abdij	crazyvin	8
St. Bernardus Prior 8	Dubbel abdij	LennyH	8
St. Bernardus Prior 8	Dubbel abdij	Beerdedone	8
St. Bernardus Prior 8	Dubbel abdij	jehoey	9
St. Bernardus Prior 8	Dubbel abdij	Grovlam	8
St. Bernardus Prior 8	Dubbel abdij	sfhodense	8
St. Bernardus Prior 8	Dubbel abdij	stangger	5
St. Bernardus Prior 8	Dubbel abdij	rodenbach99	8
St. Bernardus Prior 8	Dubbel abdij	maledictum	8
St. Bernardus Prior 8	Dubbel abdij	MI2CA	8
St. Bernardus Prior 8	Dubbel abdij	goldtwins	9
St. Bernardus Prior 8	Dubbel abdij	hammenlind	9
St. Bernardus Prior 8	Dubbel abdij	WeeHeavySD	8
St. Bernardus Prior 8	Dubbel abdij	daalamar	8
St. Bernardus Prior 8	Dubbel abdij	Saarlander	10
St. Bernardus Prior 8	Dubbel abdij	jpm30	8
St. Bernardus Prior 8	Dubbel abdij	altonbrownd	9
St. Bernardus Prior 8	Dubbel abdij	OldRaspy	9
St. Bernardus Prior 8	Dubbel abdij	LordCrabapple	8
St. Bernardus Prior 8	Dubbel abdij	BeerHeadBobby	8
St. Bernardus Prior 8	Dubbel abdij	fonefan	7
St. Bernardus Prior 8	Dubbel abdij	aracauna	8
St. Bernardus Prior 8	Dubbel abdij	Terminus	4
St. Bernardus Prior 8	Dubbel abdij	IrishBoy	8
St. Bernardus Prior 8	Dubbel abdij	JayBaxter	7
St. Bernardus Prior 8	Dubbel abdij	tennisjoel	8
St. Bernardus Prior 8	Dubbel abdij	GonZoBeeR	6
St. Bernardus Prior 8	Dubbel abdij	Dedollewaitor	8
St. Bernardus Prior 8	Dubbel abdij	awaisanen	8
St. Bernardus Prior 8	Dubbel abdij	weeare138	8
St. Bernardus Prior 8	Dubbel abdij	bgoguen	7
St. Bernardus Prior 8	Dubbel abdij	eaglefan538	7
St. Bernardus Prior 8	Dubbel abdij	Hairofthedog	8
St. Bernardus Prior 8	Dubbel abdij	Bart	8
St. Bernardus Prior 8	Dubbel abdij	Beaver	8
