beer_name	Untappd_rating	Untappd_ibu	production_status
Djan d'Nivèle Brune	N/A	N/A	N/A
KHOPkiller	3.511	35.0	Available
Illegaal Bio	3.25	N/A	Available
Festivaal	3.477	N/A	Available
III Gravity	3.525	N/A	No longer in production
III Gravity Special	3.582	N/A	Available
La Moederation	3.642	N/A	Available
Moeder Everyday (MED)	3.309	20.0	Available
Wild Duck	3.261	N/A	Available
Zavelput	3.436	N/A	Available
l'Amer des Moeders	3.635	N/A	Available
Pels	3.563	N/A	No longer in production
Takumi	3.396	25.0	Available
Pannepot - Madeira	4.42	N/A	Available
Block Buster	3.521	N/A	Available
Coming Soon	3.269	29.0	Available
Slow Motion	4.114	N/A	No longer in production
FlashBack	3.504	23.0	No longer in production
Chouette De Jandrain	3.5	N/A	Available
Clem De Castro	3.434	N/A	Available
Fayimi Grand Hallet	N/A	N/A	N/A
Moof Black	N/A	N/A	N/A
Moof Red	N/A	N/A	No longer in production
Moof Yellow	N/A	N/A	No longer in production
Patri Arch	N/A	N/A	No longer in production
AntiBirus	3.05	31.0	No longer in production
Cuvée Royale	3.585	15.0	No longer in production
Premier Cru	3.628	N/A	No longer in production
Abbaye d'Aulne Blonde	3.308	20.0	No longer in production
Abbaye d'Aulne Brune	3.365	14.0	No longer in production
La Merlette	3.281	N/A	Available
Chérie Bière blanche à la cerise	2.859	N/A	Available
Chérie Bière Blanche à la Framboise	2.957	8.0	Available
La Byzance	3.185	N/A	Available
Byz pils	2.819	N/A	Available
Hélécine Blonde	3.222	20.0	Available
Hélécine Triple Blonde	3.449	20.0	Available
Hélécine Triple Brune	3.428	N/A	Available
Comme Chez Swa	2.684	N/A	Available
Blonden Bollé Bollé	2.983	N/A	Available
Krinus Blond	3.255	N/A	Available
Krinus Donker	3.217	N/A	Available
Taffeleer	2.8	N/A	Available
Tripel K'eight	N/A	N/A	N/A
Lager	3.124	26.0	Available
Red Ipa	3.989	93.0	Available
Jungle Juice	3.823	100.0	Available
Primavera	3.459	28.0	Available
't Nunke	3.372	N/A	Available
Air Force Beer	3.453	N/A	No longer in production
Alice	3.586	33.0	No longer in production
L'Ardennaise	3.38	N/A	No longer in production
1802 Armadia 21 decennium	N/A	N/A	N/A
Asteneter Klosterbräu Blonde	N/A	N/A	N/A
Asteneter Klosterbräu Brune	N/A	N/A	N/A
B.E.E. 60	N/A	N/A	N/A
La Bechette - Bière de Milmort	2.491	N/A	Available
Bérangères	N/A	6.0	N/A
Blonde d'Oleye	3.185	N/A	Available
La Bonne F 104.9	N/A	N/A	N/A
Bressene	3.304	N/A	Available
La Céleste	3.444	N/A	No longer in production
Aubel Pure	3.323	40.0	Available
Bière du Coyeû La Peûr Pom	N/A	N/A	N/A
Borgia	3.451	N/A	No longer in production
Brain Rainwater Beer Blond	3.15	N/A	Available
La Cerfontoise Blonde	N/A	N/A	N/A
La Cerfontoise Brune	N/A	N/A	N/A
Challenge Le Jour Blonde	N/A	N/A	N/A
Challenge Le Jour Brune	N/A	N/A	N/A
Cuvée Spéciale Chaton Brune	N/A	N/A	N/A
La Chaudronnée	3.25	N/A	Available
CouCou Brune	N/A	N/A	No longer in production
Dalhemoise	N/A	N/A	N/A
Devils	4.082	N/A	Available
Djus-d'la	3.176	N/A	Available
Sanctus Dominicus Magister	3.437	N/A	Available
Sanctus Dominicus Prior	3.518	N/A	Available
Sanctus Dominicus Regens	3.286	N/A	Available
Sanctus Dominicus Novitius	3.269	N/A	Available
Sanctus Dominicus Iubilaeum Ordinis	3.308	N/A	Available
Ekske	3.556	20.0	No longer in production
Ekske Brune	N/A	N/A	N/A
Extra Time	3.872	N/A	No longer in production
Fabiola	3.475	N/A	No longer in production
Georges	3.419	N/A	No longer in production
Bière de Gilles Blonde	3.406	N/A	Available
Bière de Gilles Brune	N/A	N/A	N/A
Ging's Brune	2.923	N/A	Available
Glezia 6	3.296	N/A	Available
Cuvée 1898	3.261	25.0	No longer in production
Les Gris Cous Blonde - Cuvee d'Othée	N/A	N/A	N/A
Half-Time 2012 Brice blonde	N/A	N/A	N/A
Half-Time 2012 Joup Brune	N/A	N/A	N/A
Half-Time Médecine	N/A	N/A	N/A
Hertogenwald	N/A	N/A	N/A
IM-JIN la Sagesse Retrouvée	N/A	N/A	N/A
Jaycillette	N/A	N/A	N/A
Jon Gileppe Prestige Tripel	N/A	N/A	N/A
Jon Gileppe Premiere Brune	3.237	N/A	Available
Jon Gileppe Ruby	N/A	N/A	N/A
Jon Gileppe Retual	N/A	N/A	N/A
Jon Gileppe White	N/A	N/A	N/A
Jon Gileppe Old Reserve	N/A	N/A	N/A
Jon Gileppe Royal Prestige	N/A	N/A	N/A
Jon Gileppe White Tiger	N/A	N/A	N/A
KI'Douch	N/A	N/A	N/A
Kivoise Blonde	3.112	14.0	Available
Kosberger Broen	N/A	N/A	N/A
L'Ensorceleuse Blonde	3.368	N/A	Available
L'ensorcelleuse Brune	N/A	N/A	N/A
Trooz Triple Blonde	3.501	33.0	Available
Trooz Triple Brune	3.382	N/A	Available
Trooz Ambrée	3.168	N/A	Available
Trooz Blonde	3.501	33.0	Available
Trooz Brune	3.382	N/A	Available
L'Exclu 1	3.004	N/A	Available
L’Exclu 2	3.003	N/A	No longer in production
L'Exclu 3	3.168	N/A	Available
L'Exclu 4	2.591	N/A	No longer in production
La 46	4.326	N/A	No longer in production
La Djône Blonde	N/A	N/A	N/A
La Heusschennoise	N/A	N/A	N/A
La Lamber	3.163	25.0	Available
La Moulinoise	N/A	N/A	N/A
La Pepin	3.553	N/A	Available
La Tablette Blonde	N/A	N/A	N/A
La Taillis-Pré	N/A	N/A	N/A
La Tigneuse Blonde	N/A	N/A	N/A
LaRe Blonde	3.479	18.0	No longer in production
La Chevauchoir	N/A	N/A	N/A
Cuvee Les 12 Blond	N/A	N/A	N/A
Cuvee Les 12 Brune	N/A	N/A	N/A
Li Daye ambrée	N/A	N/A	N/A
Li Rècène	2.55	N/A	Available
Loë Commanderie 7	3.322	N/A	Available
Louisette	3.86	N/A	Available
Malhonnête la Jaune	N/A	N/A	N/A
Malhonnête la Rouge	N/A	N/A	N/A
Melen	N/A	N/A	No longer in production
Mercator Beer	3.83	N/A	Available
Pré Messire	3.352	N/A	Available
Missionaris	3.265	N/A	No longer in production
My Day	4.047	60.0	Available
Speciale Noël	3.584	N/A	Available
L'Olnoise	3.269	N/A	Available
Orpal	N/A	N/A	No longer in production
Patria Teuven	N/A	N/A	No longer in production
Pauly-Andrianne 17/26 Beer	N/A	N/A	N/A
La Rhétoricienne	N/A	N/A	N/A
Saint Clausienne Nature	N/A	N/A	N/A
Saint Etienne 350éme anniversaire	N/A	N/A	N/A
Samrée, nos be viatche	N/A	N/A	N/A
La Silvatienne Blonde	N/A	N/A	N/A
Soiron 1005	3.276	N/A	Available
GB Tafelbier Tripel	N/A	N/A	N/A
Les Trois Rois	3.393	N/A	No longer in production
CV Vernesse	N/A	N/A	N/A
Vesdra Blonde	3.036	N/A	Available
Vi	4.017	41.0	No longer in production
La Wicourtoise	N/A	N/A	N/A
Cuvée 38	3.28	N/A	Available
Bière des Titans	N/A	N/A	N/A
Brown Sugar	3.743	51.0	Available
Immortelle	3.416	21.0	Available
Slutte	3.493	30.0	Available
Triple Point G	3.318	23.0	Available
Gribousine Ambrée	3.347	N/A	Available
La MILF	3.31	22.0	No longer in production
Li D'Jo Bacq	3.343	N/A	Available
La Saint-Lambert	N/A	N/A	N/A
La Téméraire	3.948	12.0	Available
La Wérisienne	3.479	N/A	Available
Ursus Thirsty Animals 1991	3.628	31.0	No longer in production
Vennbier	3.156	N/A	Available
't Verzopen Talent	3.217	N/A	Available
't Verzopen Talent Bruin	N/A	N/A	N/A
Pierke	3.276	N/A	Available
Magister	3.507	150.0	No longer in production
De Cister	3.306	N/A	Available
Bras	2.39	28.0	Available
Billeklets	3.17	N/A	Available
De Werkmens	3.362	N/A	Available
Den Pim	N/A	N/A	N/A
Beremietje Donker	N/A	N/A	N/A
Cuvée van 't Virken	3.328	N/A	Available
Gluck Pils	2.411	N/A	Available
Wolf Bok	3.441	N/A	No longer in production
Monkey Business Berry	3.057	N/A	Available
Tripel Monkey	3.747	25.0	No longer in production
Wolf Chistmas	3.832	23.0	No longer in production
Hypallage	3.123	N/A	Available
Aïon	4.144	N/A	No longer in production
Espiaute	N/A	N/A	N/A
Oxymore Saison	3.619	25.0	Available
Stoïque	3.538	N/A	Available
Synecdoque	3.108	N/A	Available
Periple En La Demeure	N/A	N/A	N/A
Stien IPA	3.314	60.0	Available
Stien Tripel	3.476	N/A	Available
Vedett Extra Playa	2.86	N/A	Available
Organic Geuze Natur-Elle	4.003	N/A	No longer in production
Oude Kriek Jart-Elle	3.93	N/A	No longer in production
Young and Wild Fontan-Elle	3.939	N/A	No longer in production
Juicy and Wild Muscar-Elle	3.847	N/A	No longer in production
Monnikbosbier	3.302	18.0	Available
Taxandria Copper Nitro	3.417	N/A	No longer in production
Toy Boy	3.282	15.0	Available
Lust 4 Life	3.403	N/A	Available
Whizz Kid	3.259	15.0	Available
Gulden Muizenaar	3.279	N/A	Available
Saisonneke Extra	3.365	38.0	Available
Luppo Extra	3.53	60.0	Available
Bikske	3.774	N/A	Available
Keekebisj Bio	3.508	N/A	Available
Saisonneke Bio	3.357	34.0	No longer in production
Smeirlap	3.682	N/A	Available
Berchemoiseke	N/A	N/A	N/A
Pasterke	3.632	N/A	Available
90 16	3.259	N/A	Available
The Beard Is On Fire	3.602	65.0	Available
Met Je Moer Tegen De Dampoort	3.795	65.0	Available
Kvitka	3.546	N/A	No longer in production
Amadeo Zat Erbij En Keek Ernaar	3.675	80.0	Available
Bella Chai Chai Chai	3.486	N/A	No longer in production
Blik Op Oneindig	3.586	N/A	Available
Brainstorm Session IPA	3.508	40.0	Available
Cloudy With A Chance of Pale Ale	3.482	N/A	Available
De Bittere Pale	3.329	65.0	No longer in production
Dude Where Are My Pants	3.616	25.0	Available
Ernie Er Zit Een Banaan In Mijn Bier	3.237	35.0	Available
Frambo VI	3.753	20.0	Available
Go Kveik Yourself	3.658	N/A	No longer in production
Haka Juice	3.608	45.0	No longer in production
Honky Tonka Blues	3.336	N/A	Available
I Love the Smell of NEIPA In the Morning	3.653	N/A	Available
I Shot The Cherry	3.485	N/A	Available
Keep On Tripel	3.48	35.0	Available
Kölsch is not a Pils, it's a DJ	3.331	N/A	Available
Mòriske	N/A	40.0	N/A
OMG	3.648	44.0	Available
Pro-Pale	3.275	N/A	No longer in production
Rocco Road	4.155	30.0	Available
Sticky Wings	3.833	N/A	Available
Tjiepmuile	3.455	30.0	Available
Tripel Dokkeliet	3.359	N/A	Available
Tuugzwere	N/A	N/A	N/A
Uw Dikke Ma Zit Aan De Zuid	3.619	45.0	Available
Van Mijn Erf	3.453	N/A	Available
Weizen Bij De Brandweer	3.439	N/A	Available
Vlierboezem	3.023	30.0	Available
Dutsen Dorp	3.187	N/A	Available
I Quad You Not	3.597	N/A	Available
Oat Uw Muile	3.595	N/A	Available
La Dt	3.157	N/A	No longer in production
La Claire Ô	N/A	N/A	N/A
THREE: India Porter	3.69	31.0	Available
Reserva - Tonka Barley Wine B.A. Panama Rhum Barrels	3.842	8.0	Available
Brava 2022	3.805	65.0	No longer in production
La Faucheuse Brune	3.504	N/A	Available
La Faucheuse Triple	3.257	N/A	Available
La Faucheuse High Hops	3.142	25.0	Available
La Sereine	3.369	35.0	Available
Victoria	3.168	N/A	No longer in production
Export Emiel	3.181	N/A	Available
3xBuitenlust	3.524	42.0	Available
Lesage Special	3.356	N/A	Available
Elishout Tripel	N/A	N/A	N/A
Kempisch Vuur Blond	3.251	N/A	Available
Kempisch Vuur Sour Ale	2.838	15.0	No longer in production
Blitz	3.517	22.0	No longer in production
Brechtse Pallel	3.381	N/A	Available
Mokke Tropical IPA	3.61	N/A	Available
Koekoek Blond	3.363	24.0	Available
Koekoek Donker	3.383	N/A	No longer in production
Ring Of Fire	3.616	35.0	No longer in production
Perkament Bruin	3.351	N/A	Available
Perkament Honingbier	3.441	N/A	Available
Perkament Tripel	3.414	N/A	Available
De Rode Ridder	N/A	N/A	No longer in production
Brabantiae	4.335	N/A	No longer in production
Super Gueuze	3.912	N/A	No longer in production
Cuvée Roxanne er Charlotte 2004	N/A	N/A	N/A
Florian Van Roy	N/A	N/A	N/A
Cuvée Mozart	4.404	N/A	No longer in production
Cuvée de Monk's Gueuze	4.235	N/A	No longer in production
PK–bier	3.391	N/A	No longer in production
Surréaliste	3.604	N/A	Available
Double Trouble Citra	3.774	50.0	Available
Mirror Mirror	4.062	N/A	Available
Godisvremd	3.152	N/A	Available
Ware Vriend	3.362	N/A	Available
Daske	N/A	N/A	N/A
Essence of War the First Horseman	3.136	N/A	Available
Fieneke	N/A	33.0	No longer in production
Groenenhoekske	3.133	N/A	Available
Hopperman	3.003	N/A	Available
Jakkesoek	3.5	N/A	Available
Gorgonius Tripel	3.43	25.0	No longer in production
Gorgonius Blond	3.29	N/A	Available
Pirlot Belgian Golden Ale	3.183	32.0	No longer in production
Pirlot Special Belge Citra	N/A	N/A	N/A
Belgium Pier Beer	3.453	50.0	Available
Queue de Charrue Cuvée Centenaire	N/A	N/A	N/A
Brothers Blond	3.47	18.0	No longer in production
Mozart	3.441	24.0	Available
Queue De Charrue Christmas Ale	N/A	N/A	N/A
Bavo	3.995	N/A	No longer in production
Kadee Tripel	3.429	N/A	Available
Kleemputter	N/A	N/A	N/A
Klootzakske	3.387	N/A	Available
Vicaris Lustrum (15 jaar)	N/A	N/A	N/A
Zijaf	N/A	N/A	N/A
Brughuis Tripel	3.608	N/A	Available
Fusion	4.041	N/A	No longer in production
Belgian Strong Dark	3.901	35.0	Available
Belgian Strong Blond	3.723	33.0	Available
Belgian Premium Pils	3.323	22.0	Available
't Moerken	3.38	N/A	Available
Den Appeleir Blond	N/A	N/A	N/A
Den Appeleir Bruin	N/A	N/A	N/A
Gevolgsken	N/A	N/A	N/A
De Gentenaar	N/A	N/A	N/A
Kanonnier	3.217	N/A	Available
Gildenhuis	3.477	N/A	Available
Johanna Bier	3.326	15.0	Available
Kandidoot	N/A	N/A	N/A
Kramaaike	3.344	25.0	Available
Malders Boerken	3.309	N/A	Available
Mespilarios Blond	3.341	N/A	Available
Mespilarios Bruin	3.096	N/A	Available
Snorreken	N/A	N/A	N/A
White	3.56	11.0	No longer in production
Dréke	3.405	25.0	Available
Rosé	3.347	N/A	No longer in production
Bad Romance	3.541	N/A	No longer in production
Charterbier	2.988	N/A	Available
Vayamundo Beer of Happiness 2016	N/A	N/A	N/A
Kessel X-mas	N/A	N/A	N/A
Kwantum T	N/A	N/A	N/A
Spacelord Cosmic Coffee	3.709	35.0	No longer in production
't Scho(o)l	N/A	N/A	N/A
Tripel Katrien	3.495	N/A	No longer in production
Doode Bemde Donker	N/A	N/A	N/A
Doode Bemde Blond	N/A	N/A	No longer in production
Moorsel Bier Nen Donkere	N/A	N/A	N/A
Pédal D'or	2.474	N/A	Available
Poepelaeren Tripel	3.125	N/A	Available
Stoute Pitte	3.448	N/A	Available
Rosse Pitte	3.246	N/A	Available
Alosta Blond	3.207	N/A	No longer in production
Alosta Tripel	3.683	N/A	No longer in production
Reflecting Your Imagination	N/A	N/A	N/A
Tripel Jack Barrel Aged	3.774	38.0	No longer in production
Das Waanzin Op Eiken Snippers	3.288	25.0	No longer in production
Das Waanzin Barrel Aged Tripel	3.269	23.0	No longer in production
Sergeant	3.317	N/A	No longer in production
Lokerasse Quadrupel	3.284	N/A	Available
Bruun	3.426	35.0	No longer in production
Rince Cochon	3.4	35.0	Available
Clais	3.192	N/A	Available
Bambrugs Annake	3.386	N/A	Available
Blind Drunk	3.219	N/A	Available
Bosbeekbier	3.24	N/A	Available
Ne Gast	3.209	150.0	Available
Pestkop	3.336	N/A	Available
Salvia 125	2.629	N/A	Available
Lauwendries Saison	3.359	N/A	Available
Bouts	3.315	13.0	Available
Zure van Tildonk - Zeebezen	3.707	N/A	Available
Darth Maul	3.43	N/A	No longer in production
Tinto	3.408	N/A	Available
Zure Van Tildonk Perziken	3.281	N/A	Available
Winter 17	3.814	35.0	No longer in production
Winter 18	2.918	N/A	Available
Winter 10	3.54	37.0	No longer in production
Saison Greenhopped	3.546	28.0	Available
Bloody Michelle	2.978	N/A	Available
Zemstse Pinkster Ale	3.495	N/A	Available
Roselle Ma Belle	3.35	50.0	Available
Julenåler	3.73	39.0	Available
Isaak Nelson	3.304	27.0	Available
Poufff!!	3.317	27.0	Available
Rabarbarella	3.2	27.0	Available
Rikki Riesling	3.311	27.0	Available
Theo Pinot	3.216	27.0	No longer in production
Zesty Zelda	3.381	35.0	Available
Brussel BA Sour Imperial Coffee Stout	3.148	N/A	No longer in production
Cerezas y Chocolate	3.468	N/A	No longer in production
Dad's Tea	3.289	N/A	No longer in production
Duindoorn	3.456	N/A	Available
Fresh Hop 2018	3.775	60.0	No longer in production
Rocky Farm	3.249	10.0	Available
Special 14	3.669	32.0	Available
Summer of '67	2.598	N/A	Available
Zure Van Tildonk Bramen	3.634	N/A	Available
Zure van Tildonk Framboos	3.699	N/A	Available
Zure van Tildonk 2013	3.592	N/A	No longer in production
Zure van Tildonk 2014	3.836	N/A	No longer in production
Zure van Tildonk 2015	3.71	N/A	No longer in production
Vagevuur Rook	3.154	N/A	Available
Belle Epoque	3.694	72.0	No longer in production
Clypeaster	N/A	N/A	N/A
Opabinia	N/A	N/A	N/A
Hoplites	N/A	N/A	No longer in production
Fresh Hop 2017	3.775	60.0	No longer in production
Fresh Hop 2020	4.167	70.0	No longer in production
Heavy Nettle	3.896	N/A	No longer in production
If Only the Hof Had A Beard	3.36	N/A	Available
Imperial Double Mash Stout	3.998	N/A	Available
Leuven On A Prayer	4.1	N/A	Available
The Waterslot Zure	3.763	N/A	Available
Wespelaers Blond	3.692	N/A	Available
Zure van Tildonk - Barbera	3.707	N/A	No longer in production
Toetëlèr IPA	3.272	70.0	Available
Toetëlèr Grand Cru 2016	3.677	N/A	No longer in production
Toetëlèr Vatgerijpt 2018	3.785	N/A	No longer in production
Blauwe Bessenbier	2.844	N/A	No longer in production
Bok Louwel	3.105	N/A	Available
Comman 3	3.511	N/A	Available
Bast	3.718	N/A	Available
Kwintet Tripel	3.625	45.0	No longer in production
Tazettein	3.246	N/A	Available
Voalig Heads Bok	3.213	N/A	Available
Franssoifke	3.306	N/A	Available
Ne Smaakmaker	3.054	N/A	No longer in production
Kamiel	3.451	N/A	Available
Bergomsche Tripel	3.276	N/A	Available
Bok Monsieur	N/A	N/A	N/A
Toetelicious	3.521	N/A	Available
Toetëlèr Pils	3.167	N/A	Available
Paradijs Saison	3.369	N/A	Available
Tripel Horse	3.745	18.0	Available
PaByrus	3.451	N/A	No longer in production
Gravin Agnes van Loon	3.418	N/A	Available
Kasteel Beauvoorde	3.005	N/A	No longer in production
All Inclusive IPA 2016	3.48	50.0	No longer in production
Bertinus Tripel	N/A	N/A	No longer in production
Single Green Hop 2015	3.607	N/A	No longer in production
Single Green Hop 2017	3.446	N/A	No longer in production
All Inclusive IPA 2015	3.723	N/A	No longer in production
Koningaap Werelds Bier	3.188	N/A	No longer in production
Mammoet	3.234	N/A	Available
Single Green Hop 2019	3.501	N/A	No longer in production
All Inclusive IPA 2019	3.589	N/A	No longer in production
Uchterke	3.788	N/A	Available
Bienne	3.482	20.0	Available
Baratom Blond	3.389	N/A	Available
Clarisse Rouge	3.331	25.0	Available
Goesting Blond	3.499	45.0	Available
Lichtvoetig Blond	3.433	N/A	Available
Sex On The Beach	3.267	N/A	Available
Bux Green	3.626	35.0	Available
Ouverture	3.343	37.0	Available
Hip Hop Hooray	3.278	19.0	No longer in production
Bottleneck	3.22	25.0	Available
Concordia Hell's Pils	3.247	18.0	Available
Wild Hops 2018	3.714	N/A	No longer in production
Karma noir	3.939	35.0	Available
Call Me Blondie	3.159	27.0	Available
Witte Van Lee	3.341	34.0	Available
Kaffee Leeflank	3.309	30.0	Available
La Grande Bellezza	3.492	N/A	Available
Boho Organic Blond Beer	3.058	30.0	Available
Boho Organic Cherry Beer	N/A	N/A	N/A
Boho Organic White Beer	3.204	30.0	Available
Boho Organic Triple Beer	3.347	N/A	Available
Grailee's	3.262	N/A	Available
Martha Brown Eyes	3.652	24.0	Available
Martha Guilty Pleasure	3.307	10.0	Available
Martha Sexy Blond	3.508	30.0	Available
Mount Everest	2.951	5.0	No longer in production
Quinoux	2.923	30.0	No longer in production
Gullewapper	3.271	N/A	Available
Mumbeer	3.23	N/A	No longer in production
Eifel Blonde	3.301	24.0	Available
Eifel Brune	3.139	32.0	Available
Myday After Work Beer	3.173	23.0	Available
Myday Makes My Day Ginger	3.236	N/A	Available
Prinsenbier De Cyclist	3.5	N/A	Available
Black 13	3.991	51.0	No longer in production
Blonde God	2.962	N/A	Available
Koeruir van Sinaai	3.278	N/A	Available
Spelt Kriek	3.169	N/A	Available
BE-NL	3.413	70.0	Available
Fest	3.385	25.0	Available
Oscar Tripel	3.465	N/A	Available
AB Beeer	3.233	28.0	Available
Real Love	3.995	20.0	Available
Dark Love	4.144	N/A	No longer in production
e N'Echten	3.094	N/A	No longer in production
B15	3.43	N/A	No longer in production
Roesschaart	3.1	N/A	Available
Arteveldeboysbier	N/A	N/A	N/A
Minos	3.879	N/A	No longer in production
Bizonbier Hop	3.302	N/A	Available
Gloriaan Quadrupel	3.622	N/A	Available
KILA	N/A	N/A	No longer in production
Oscar Bob	2.334	N/A	Available
Velleneir 125	3.268	26.0	Available
EWO	3.254	85.0	Available
Nonkel Hop	3.494	50.0	Available
Hoplex	3.338	37.0	No longer in production
MAKnifique	3.295	N/A	Available
Noë tripel	3.575	47.0	No longer in production
Ostdonk Blond	3.411	20.0	Available
Bar Belge	3.175	37.0	Available
Driope 6 Kardemon	3.35	N/A	Available
Heeten Heuzel	2.921	N/A	No longer in production
Me Against IBU	3.932	30.0	Available
Gronckel Quadrupel	3.641	30.0	Available
Coucou Kriek Royal	2.864	N/A	Available
Libidus Happy Ending Beer Pearl	N/A	N/A	N/A
Libidus Happy Ending Beer Quarts	N/A	N/A	N/A
De Mandelbode Zacht Blond	3.319	N/A	Available
Mandelbode Speciaal Blond	3.05	35.0	Available
Lions Blonde	3.847	25.0	Available
Pannepot Reserva - Tour Baladoz BA	4.432	N/A	No longer in production
Makadam	3.611	25.0	No longer in production
Mystic Radler	2.735	N/A	Available
Super 8 IPA	3.452	N/A	Available
Royal Pumpkin	3.222	N/A	Available
Kollusion	3.632	N/A	No longer in production
Dubaere Tripel	3.399	N/A	Available
Maenhout Winterbier 2019	3.498	N/A	No longer in production
Maenhout Saison	3.277	N/A	Available
Tumulus Musa	3.455	40.0	Available
Jo. Zeppers Vriendenbier	3.443	N/A	No longer in production
Barley Wine	3.645	90.0	No longer in production
Champagner Weisse	3.45	N/A	No longer in production
Chocolate Stout	3.67	25.0	Available
Nada IPA	3.827	60.0	No longer in production
New England IPA	3.685	35.0	Available
Premium Tripel	3.48	27.0	No longer in production
Sour Peach	3.535	8.0	No longer in production
Kapel Van Viven Bruin	N/A	N/A	N/A
Donkere Stoere 8.2%	N/A	N/A	N/A
Nen Houten Notter	N/A	22.0	N/A
Notter1	3.437	N/A	Available
Schele Notter	3.268	N/A	Available
Hopmaat 2014	N/A	N/A	N/A
Reninge Bitter Blond à Lambiek	3.655	N/A	Available
Judith	3.367	N/A	Available
Tripel I Like	3.366	N/A	Available
28 Brut	3.639	N/A	Available
28 Imperial Pils	3.407	N/A	No longer in production
28 India Pale Ale	3.382	N/A	No longer in production
28 Pils	2.125	N/A	No longer in production
28 Red	3.649	N/A	No longer in production
28 Super	3.289	N/A	Available
28 Summer	3.586	12.0	No longer in production
Caulier Bio Blanche	3.321	34.0	Available
Caulier Extra Tripel	3.089	N/A	Available
Caulier Gluten Free IPA	2.998	30.0	Available
Droeftoeter	3.33	N/A	No longer in production
Uytkanter	3.304	25.0	Available
Fort Lapin 5 Blanche	3.348	N/A	Available
Fort Lapin 6 Dubbel	3.209	N/A	Available
Fort Lapin 6,5 Rouge	3.212	N/A	Available
Chocolate Stout	3.67	25.0	Available
Coolkerkenoare	3.432	N/A	Available
Fort Lapin Kriek	2.962	N/A	Available
Witte van Brugge	3.397	N/A	Available
Jack Premium Lager	3.125	N/A	Available
Upper Cut	3.496	N/A	Available
Leonie	3.327	25.0	Available
Rostekop	3.275	N/A	Available
A Belgian Beer	3.758	35.0	No longer in production
Babbelaar Signature Series	3.754	N/A	Available
De Voerman Speciaal	3.283	N/A	Available
De Voerman Tripel	3.408	N/A	No longer in production
De Voerman Witte	N/A	33.0	N/A
Bruges La Morte Tripel	3.759	N/A	Available
Brugsche Arbiter	N/A	N/A	N/A
Coolkerksche Calle	2.773	N/A	Available
Geocaching Brughia Berebonus	3.468	N/A	Available
Roman Pils	2.887	25.0	Available
Brunet	3.216	N/A	Available
Fiston	3.007	N/A	Available
Cornet Smoked	3.369	25.0	No longer in production
Aggressive Dooom	3.586	N/A	No longer in production
Charybdis	3.841	57.0	No longer in production
La Folie Française	3.883	41.0	No longer in production
Lorelei	4.305	37.0	No longer in production
The Mash	3.433	N/A	No longer in production
Gala Pils	N/A	N/A	N/A
Cherry Red	3.582	10.0	Available
Duvel Barrel Aged Batch 5 (Barbados Rum)	N/A	N/A	N/A
De Poes - Speciale Belge	3.379	25.0	Available
Rogier Winterbier	3.295	N/A	Available
Hector Amber	N/A	N/A	No longer in production
La Corne Du Bois Des Pendus Quadrupel	3.702	N/A	Available
Cuvées Secrètes de Cornélius Ambrée	3.308	N/A	No longer in production
't Zolderke	3.598	N/A	Available
Brabelle	N/A	N/A	N/A
Spiced Ambree	3.091	N/A	No longer in production
Rochefort Triple Extra	3.762	35.0	No longer in production
Krevet	3.044	N/A	Available
Roland 66	3.32	N/A	Available
Hill 17	4.457	N/A	No longer in production
Rock 40	3.759	20.0	No longer in production
Lewis Dark	3.333	N/A	Available
Saison Moemoe	3.251	35.0	Available
Mulleslunse	3.531	N/A	Available
Ghistelnoare Tripel	3.426	N/A	Available
Ghistelnoare Whisky Infused	3.538	N/A	Available
Ghistelnoare Session Ale	3.178	N/A	Available
Ghistelnoare Jeneverbes en Kardemon	N/A	N/A	N/A
Amantine Saison	3.529	N/A	Available
Amantine Hoppy Copper	3.779	N/A	Available
Amantine Hocus Pocus	3.74	N/A	Available
Hop Down	3.519	50.0	No longer in production
Hoger-(H)op	3.99	N/A	Available
RDV (Rendez-Vous)	3.082	N/A	Available
Reuzebier	3.533	30.0	Available
Triple Spermalie 2020	3.474	N/A	Available
Lotjen	3.577	N/A	Available
Dorstige Flamingo	3.459	N/A	Available
Bruiserken	3.279	N/A	Available
Subsidie Slurper	2.809	N/A	Available
Obsquur	3.544	36.0	Available
Pale Whale	3.444	40.0	No longer in production
Heldin Bonny Red	2.98	30.0	Available
Bohemian IV	3.337	26.0	Available
Monade	3.306	30.0	No longer in production
Couck Blond	3.483	N/A	No longer in production
Coucke Rond Blond	3.25	35.0	Available
Couck Quadrupel	3.736	N/A	No longer in production
Couck Tarwe Dubbel	3.238	11.0	No longer in production
Couck Tripel	3.512	N/A	No longer in production
Straffe Couck White	3.382	11.0	No longer in production
Bananenbier	2.643	N/A	Available
Blok van Nieuwkerken	3.075	N/A	Available
Fruity Mie Framboos	N/A	N/A	No longer in production
No Nuts	3.058	N/A	Available
Rosse Vos	2.875	25.0	Available
Zomer Zjef	N/A	N/A	N/A
Zomerschaap	N/A	N/A	N/A
ZJIPA	3.567	N/A	Available
Zwarte Zjef Deluxe	3.391	70.0	Available
Blond Polleke	3.304	N/A	Available
Feestvarken	3.314	26.0	Available
Fruity Mie Kriek	N/A	N/A	N/A
Het Gouden Idee	N/A	N/A	N/A
Cubelleke	N/A	30.0	N/A
